no1,,,,,,,,,,,,,,,
TIMEINT,L1_density,L1_delay,L1_Speed,L2_density,L2_delay,L2_Speed,L3_density,L3_delay,L3_Speed,L4_density,L4_delay,L4_Speed,L5_density,L5_delay,L5_Speed
0-120,12.440036,1.29%,51.097786,9.42488,0.24%,52.221324,23.368804,58.85%,19.691597,10.728888,23.27%,38.520218,12.153609,2.24%,49.054652
120-240,20.825783,2.74%,50.258493,19.827906,3.10%,50.716894,96.291033,85.41%,6.937579,43.661071,64.17%,18.081612,22.48553,3.06%,48.664528
240-360,56.907974,68.80%,16.412508,40.892415,37.70%,32.452958,125.401556,90.86%,4.239383,100.318208,85.53%,7.32431,26.050903,3.53%,48.602457
360-480,113.894291,89.83%,5.399425,94.244587,82.41%,9.305565,123.996264,91.61%,3.930765,104.611354,84.94%,7.573855,27.472387,2.46%,48.906365
480-600,121.576034,91.54%,4.514605,105.044232,86.82%,7.030666,165.526312,99.99%,0.008232,57.783408,54.74%,23.021337,28.308893,3.39%,49.433739
600-720,,,,,,,,,,,,,,,
720-840,,,,,,,,,,,,,,,
840-960,,,,,,,,,,,,,,,
960-1080,,,,,,,,,,,,,,,
1080-1200,,,,,,,,,,,,,,,
1200-1320,,,,,,,,,,,,,,,
1320-1440,,,,,,,,,,,,,,,
1440-1560,,,,,,,,,,,,,,,
1560-1680,,,,,,,,,,,,,,,
1680-1800,,,,,,,,,,,,,,,
1800-1920,,,,,,,,,,,,,,,
1920-2040,,,,,,,,,,,,,,,
2040-2160,,,,,,,,,,,,,,,
2160-2280,,,,,,,,,,,,,,,
2280-2400,,,,,,,,,,,,,,,
2400-2520,,,,,,,,,,,,,,,
2520-2640,,,,,,,,,,,,,,,
2640-2760,,,,,,,,,,,,,,,
2760-2880,,,,,,,,,,,,,,,
2880-3000,,,,,,,,,,,,,,,
