no1,,,,,,,,,,,,,,,
TIMEINT,L1_density,L1_delay,L1_Speed,L2_density,L2_delay,L2_Speed,L3_density,L3_delay,L3_Speed,L4_density,L4_delay,L4_Speed,L5_density,L5_delay,L5_Speed
0-120,12.828901,0.89%,49.324126,9.847321,0.06%,49.822066,31.217108,60.34%,14.556313,14.491697,6.42%,27.947645,10.0041,1.57%,46.867816
120-240,23.947979,13.21%,43.146039,20.358285,0.36%,49.383066,112.665942,90.10%,4.166274,33.841438,9.69%,25.023519,22.100599,0.45%,48.238685
240-360,85.313891,83.32%,8.248392,34.675476,17.02%,41.010103,146.715697,95.71%,1.749867,88.04964,68.40%,8.528684,20.256109,0.51%,48.074891
360-480,120.828518,92.06%,3.949729,71.866485,69.28%,15.1072,149.155173,95.03%,2.146462,88.09919,58.39%,13.384218,31.170442,0.06%,48.949021
480-600,,,,,,,,,,,,,,,
600-720,,,,,,,,,,,,,,,
720-840,,,,,,,,,,,,,,,
840-960,,,,,,,,,,,,,,,
960-1080,,,,,,,,,,,,,,,
1080-1200,,,,,,,,,,,,,,,
1200-1320,,,,,,,,,,,,,,,
1320-1440,,,,,,,,,,,,,,,
1440-1560,,,,,,,,,,,,,,,
1560-1680,,,,,,,,,,,,,,,
1680-1800,,,,,,,,,,,,,,,
1800-1920,,,,,,,,,,,,,,,
1920-2040,,,,,,,,,,,,,,,
2040-2160,,,,,,,,,,,,,,,
2160-2280,,,,,,,,,,,,,,,
2280-2400,,,,,,,,,,,,,,,
2400-2520,,,,,,,,,,,,,,,
2520-2640,,,,,,,,,,,,,,,
2640-2760,,,,,,,,,,,,,,,
2760-2880,,,,,,,,,,,,,,,
2880-3000,,,,,,,,,,,,,,,
