no1,,,,,,,,,,,,,,,
TIMEINT,L1_density,L1_delay,L1_Speed,L2_density,L2_delay,L2_Speed,L3_density,L3_delay,L3_Speed,L4_density,L4_delay,L4_Speed,L5_density,L5_delay,L5_Speed
0-120,11.140692,1.29%,51.119561,2.515175,0.19%,51.485046,23.115026,59.87%,19.257934,2.401652,2.50%,48.515045,5.779994,1.96%,47.798233
120-240,18.209574,1.90%,50.733768,4.968775,0.55%,51.913634,74.570333,82.44%,8.330046,8.036257,35.05%,32.622344,14.815851,1.92%,48.334772
240-360,41.384865,55.90%,23.09548,2.823157,0.00%,52.955132,126.71101,91.43%,3.973901,2.248303,12.76%,44.887377,13.112465,2.38%,48.648862
360-480,102.975739,86.96%,6.890706,8.883395,0.35%,52.174702,125.313183,91.03%,4.214709,10.02717,26.09%,37.315089,17.729055,2.80%,47.648464
480-600,125.879839,93.07%,3.699188,15.899696,2.73%,51.763064,166.389191,99.76%,0.132377,14.146688,2.01%,49.420312,13.79269,2.62%,49.540541
600-720,,,,,,,,,,,,,,,
720-840,,,,,,,,,,,,,,,
840-960,,,,,,,,,,,,,,,
960-1080,,,,,,,,,,,,,,,
1080-1200,,,,,,,,,,,,,,,
1200-1320,,,,,,,,,,,,,,,
1320-1440,,,,,,,,,,,,,,,
1440-1560,,,,,,,,,,,,,,,
1560-1680,,,,,,,,,,,,,,,
1680-1800,,,,,,,,,,,,,,,
1800-1920,,,,,,,,,,,,,,,
1920-2040,,,,,,,,,,,,,,,
2040-2160,,,,,,,,,,,,,,,
2160-2280,,,,,,,,,,,,,,,
2280-2400,,,,,,,,,,,,,,,
2400-2520,,,,,,,,,,,,,,,
2520-2640,,,,,,,,,,,,,,,
2640-2760,,,,,,,,,,,,,,,
2760-2880,,,,,,,,,,,,,,,
2880-3000,,,,,,,,,,,,,,,
