no1,,,,,,,,,,,,,,,
TIMEINT,L1_density,L1_delay,L1_Speed,L2_density,L2_delay,L2_Speed,L3_density,L3_delay,L3_Speed,L4_density,L4_delay,L4_Speed,L5_density,L5_delay,L5_Speed
0-120,11.412983,0.47%,49.714004,2.583129,0.03%,50.115224,22.12386,56.09%,20.422098,2.457631,2.61%,47.409988,7.877621,1.15%,46.330834
120-240,22.304633,6.42%,33.27017,5.162452,0.18%,49.973727,40.533865,70.73%,13.236731,10.508656,51.24%,23.925315,14.101348,1.59%,46.562641
240-360,57.728767,15.52%,12.168237,2.953611,0.01%,50.357417,48.269837,72.20%,11.269346,7.438312,70.79%,14.119647,16.52771,1.40%,46.237469
360-480,77.843231,12.45%,7.072715,9.206958,0.12%,50.124237,52.241434,77.74%,9.277897,10.992793,30.57%,33.22739,14.88813,4.60%,43.915314
480-600,90.531571,13.51%,4.834051,10.231561,2.04%,44.980951,93.537142,95.31%,1.930477,42.332194,75.83%,11.561552,9.8776,7.84%,44.048722
600-720,110.095741,16.54%,4.613514,29.688626,27.88%,4.974592,135.528709,96.95%,1.180107,63.801361,99.20%,0.368078,8.763243,2.21%,44.979803
720-840,140.872753,61.12%,2.257985,65.024035,17.80%,4.700814,60.893258,81.64%,7.839278,64.233774,98.64%,0.360069,12.209824,0.00%,46.624018
840-960,,,,,,,,,,,,,,,
960-1080,,,,,,,,,,,,,,,
1080-1200,,,,,,,,,,,,,,,
1200-1320,,,,,,,,,,,,,,,
1320-1440,,,,,,,,,,,,,,,
1440-1560,,,,,,,,,,,,,,,
1560-1680,,,,,,,,,,,,,,,
1680-1800,,,,,,,,,,,,,,,
1800-1920,,,,,,,,,,,,,,,
1920-2040,,,,,,,,,,,,,,,
2040-2160,,,,,,,,,,,,,,,
2160-2280,,,,,,,,,,,,,,,
2280-2400,,,,,,,,,,,,,,,
2400-2520,,,,,,,,,,,,,,,
2520-2640,,,,,,,,,,,,,,,
2640-2760,,,,,,,,,,,,,,,
2760-2880,,,,,,,,,,,,,,,
2880-3000,,,,,,,,,,,,,,,
