Free,,,,
TIMEINT,Num_Start,Num_End,AverageDelay,AverageSpeed
0-100,0,0,0,0
100-200,4,4,0,62.740696
200-300,2,2,0,60.380097
300-400,7,5,0,62.865432
400-500,5,7,0,62.285423
500-600,12,9,0,63.13547
600-700,17,18,0.016992,61.945811
700-800,18,18,0.018395,62.409823
800-900,19,19,0.054075,62.501731
900-1000,30,31,0.132754,62.230441
1000-1100,30,23,0.143451,61.170276
1100-1200,34,38,0.294617,59.854458
1200-1300,41,39,0.154074,62.140816
1300-1400,30,32,0.087627,61.411728
1400-1500,50,48,0.21865,61.044326
1500-1600,42,45,0.109464,62.834597
1600-1700,40,35,0.22412,61.344044
1700-1800,39,40,0.211971,60.752781
1800-1900,40,45,0.288705,60.603746
1900-2000,55,49,0.305606,61.00305
2000-2100,56,54,0.296372,60.77541
2100-2200,50,55,0.350936,60.015154
2200-2300,67,62,0.409922,59.325932
2300-2400,56,60,0.367053,59.376224
2400-2500,64,63,0.489234,59.662795
2500-2600,55,54,0.34367,60.151601
2600-2700,79,77,0.917745,56.925385
2700-2800,77,75,2.067119,51.670352
2800-2900,58,60,5.50181,40.260673
2900-3000,79,79,1.280501,55.530746
3000-3100,69,68,4.940672,42.024955
3100-3200,64,65,2.069587,51.732472
3200-3300,81,80,1.224659,55.681913
3300-3400,64,65,5.767942,40.055433
3400-3500,71,70,1.348069,55.208663
3500-3600,80,80,1.25371,55.813452
3600-3700,69,68,5.062179,42.043059
3700-3800,66,68,1.841153,52.80915
3800-3900,79,79,1.198552,56.267253
3900-4000,72,69,4.18894,44.444802
4000-4100,61,65,2.927276,48.882238
4100-4200,79,78,0.811593,57.354325
