equal,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,6.18823,44.835612,14,13
120-240,8.476924,41.103425,19,24
240-360,9.22765,40.074747,20,28
360-480,15.225485,35.638996,32,32
480-600,16.03105,33.693802,28,41
600-720,18.129128,34.182528,28,37
720-840,13.438636,37.002807,35,41
840-960,17.623886,33.187804,32,47
960-1080,12.192086,38.074468,23,45
1080-1200,10.89301,38.236088,40,34
1200-1320,12.656097,37.147943,28,56
1320-1440,13.450016,38.231063,27,54
1440-1560,12.940663,36.852669,27,33
1560-1680,11.448656,38.920167,26,48
1680-1800,14.920109,36.522491,34,46
1800-1920,14.841683,36.869088,38,56
1920-2040,14.411346,35.956161,38,57
2040-2160,16.881305,34.334263,37,51
2160-2280,15.159671,35.419186,33,54
2280-2400,10.294413,38.637031,33,45
2400-2520,11.969965,37.862517,54,49
2520-2640,18.03414,32.927778,24,65
2640-2760,11.533924,39.362533,37,43
2760-2880,12.558203,37.110502,43,53
2880-3000,15.435081,35.980968,34,66
3000-3120,13.448432,37.309503,40,62
3120-3240,13.238702,36.980951,43,61
3240-3360,15.848864,34.324748,46,59
3360-3480,13.171308,37.439796,54,71
3480-3600,16.356596,35.094941,36,75
3600-3720,14.784409,35.860642,51,63
3720-3840,21.08871,32.056492,54,77
3840-3960,22.465545,30.337242,55,67
3960-4080,26.796728,28.298562,68,65
4080-4200,22.822798,28.954087,64,74
4200-4320,24.481458,30.149272,58,88
4320-4440,20.797854,31.800333,65,85
4440-4560,20.427204,31.723131,49,81
4560-4680,16.45427,34.421028,59,74
4680-4800,24.072312,30.497379,61,77
4800-4920,22.303836,30.899764,52,89
4920-5040,17.725729,33.647406,58,67
5040-5160,20.240396,31.572001,62,77
5160-5280,21.933648,31.040759,71,85
5280-5400,22.897797,30.84096,73,93
5400-5520,25.481484,28.285658,75,88
5520-5640,28.932852,26.568467,85,82
5640-5760,34.826557,23.877766,99,85
5760-5880,40.053569,20.658808,109,83
5880-6000,45.781053,18.794627,98,87
6000-6120,41.287463,20.265465,124,76
6120-6240,47.31153,17.895156,127,92
6240-6360,52.269003,15.386776,149,79
6360-6480,57.33215,14.04827,166,89
6480-6600,56.507958,14.329065,186,89
6600-6720,37.914991,12.220536,211,45
SUM,,,,3503
0-120,9.516699,41.205923,15,8
120-240,11.799363,37.675771,13,22
240-360,5.358687,43.968671,22,19
360-480,12.642859,37.735138,21,38
480-600,10.524915,38.595416,22,31
600-720,8.957512,41.232549,30,38
720-840,15.570498,35.837562,29,46
840-960,10.344673,39.673452,26,49
960-1080,14.26851,36.200123,27,38
1080-1200,13.165143,36.46126,28,36
1200-1320,9.985839,38.785009,33,40
1320-1440,11.368478,39.135588,33,54
1440-1560,12.598953,37.53451,23,48
1560-1680,11.500079,39.661481,32,48
1680-1800,11.663598,37.825424,37,56
1800-1920,13.162223,37.566641,38,56
1920-2040,14.812718,36.446007,37,54
2040-2160,10.676596,39.025217,25,51
2160-2280,11.754667,38.401834,23,44
2280-2400,8.745978,39.913202,33,35
2400-2520,13.698403,37.53685,36,55
2520-2640,9.221495,40.189209,24,54
2640-2760,15.704683,37.605733,29,52
2760-2880,11.491781,38.965234,40,53
2880-3000,14.378857,36.675414,41,67
3000-3120,15.045373,35.82289,42,65
3120-3240,14.685533,35.683023,47,56
3240-3360,14.362096,35.456222,50,64
3360-3480,17.610418,34.416229,53,75
3480-3600,20.890875,31.586299,41,66
3600-3720,16.013435,34.747891,44,63
3720-3840,17.682985,34.266403,54,65
3840-3960,15.687944,34.846568,51,76
3960-4080,18.194014,33.076233,43,70
4080-4200,15.410821,35.452565,49,52
4200-4320,17.432596,34.380402,62,70
4320-4440,18.824953,31.668105,77,83
4440-4560,31.909613,25.427914,66,79
4560-4680,31.947618,25.405092,72,72
4680-4800,29.930634,25.78443,75,82
4800-4920,36.115353,23.355414,84,71
4920-5040,30.517014,25.14833,88,85
