no,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,2.745726,47.700029,46,39
120-240,8.100536,42.205323,73,91
240-360,14.372565,36.42631,86,111
360-480,18.773744,32.45772,109,110
480-600,23.36803,29.249186,108,118
600-720,25.701386,27.896943,131,117
720-840,36.635476,22.71505,136,117
840-960,38.301191,21.399037,155,120
960-1080,38.71416,20.746091,184,123
1080-1200,47.37736,16.95476,212,122
1200-1320,51.749235,14.53316,262,126
1320-1440,60.503114,12.341818,281,129
1440-1560,65.792551,11.119336,285,119
1560-1680,33.267349,9.732549,290,47
SUM,,,,1489
0-120,1.954051,48.367691,40,31
120-240,5.243709,44.608922,71,84
240-360,16.825876,34.704681,96,97
360-480,19.228429,31.680715,104,116
480-600,22.870901,29.311549,131,113
600-720,33.420187,23.813637,151,119
720-840,42.116635,19.928813,135,117
840-960,37.871572,21.520083,150,118
960-1080,39.46123,20.281934,190,119
1080-1200,49.260004,16.331254,219,123
1200-1320,54.315343,14.1455,254,127
1320-1440,59.554369,12.848748,263,125
1440-1560,64.396333,11.396474,274,117
1560-1680,63.772265,11.422795,285,125
1680-1800,64.900114,11.324733,283,123
1800-1920,64.971132,11.142391,288,123
1920-2040,66.449288,10.860793,286,121
2040-2160,64.919963,11.214861,284,124
2160-2280,2.174629,10.570935,286,3
SUM,,,,2025
0-120,1.924922,48.389222,37,34
120-240,6.112084,43.94441,77,81
240-360,16.202123,35.65025,84,108
360-480,19.393321,31.725713,98,110
480-600,23.608222,29.30898,125,115
600-720,29.335418,25.746846,143,117
720-840,35.88461,22.544216,133,125
840-960,37.293184,21.258432,152,110
960-1080,37.79392,21.028025,191,121
1080-1200,46.899678,16.895348,227,126
1200-1320,58.17909,12.696233,278,123
1320-1440,64.817003,11.347207,282,122
1440-1560,15.715292,11.258914,294,22
SUM,,,,1314
0-120,5.647804,44.987058,55,41
120-240,7.738185,42.432282,67,97
240-360,9.337936,40.628829,69,106
360-480,16.475303,34.673212,92,102
480-600,24.545877,29.235117,112,111
600-720,27.085817,27.098591,122,118
720-840,29.523236,25.738821,133,121
840-960,31.255651,24.669331,137,125
960-1080,34.913759,22.560079,187,120
1080-1200,49.294555,16.290727,217,125
1200-1320,54.171597,13.869354,269,126
1320-1440,64.217043,11.273447,287,117
1440-1560,64.156518,11.394472,282,126
1560-1680,64.01066,11.528818,285,127
1680-1800,64.431641,11.468825,282,122
1800-1920,63.913625,11.288869,290,123
1920-2040,64.541717,11.35144,281,127
2040-2160,63.18074,11.745046,286,127
2160-2280,64.966879,11.306497,282,122
2280-2400,65.25589,11.193997,284,125
2400-2520,63.184908,11.906211,281,130
2520-2640,63.037417,11.890674,279,127
2640-2760,65.450343,11.048295,284,121
2760-2880,63.461186,11.498875,287,126
2880-3000,65.761638,11.217637,282,121
SUM,,,,2933
0-120,4.569962,45.831483,68,40
120-240,8.493485,41.374248,75,104
240-360,14.515396,36.472248,74,107
360-480,14.313392,36.189994,89,108
480-600,21.507234,30.973612,103,109
600-720,24.376351,28.976904,114,119
720-840,25.840733,27.269283,137,117
840-960,35.290207,22.93149,150,117
960-1080,38.918742,20.396163,201,123
1080-1200,52.754449,15.236511,231,125
1200-1320,58.803461,12.570978,273,116
1320-1440,63.505659,11.367437,287,124
1440-1560,63.679011,11.5028,286,128
1560-1680,65.110539,11.362933,279,126
1680-1800,65.922348,11.049118,286,118
1800-1920,63.96186,11.501855,280,125
1920-2040,64.702243,11.314248,284,125
2040-2160,64.941614,11.457374,282,123
2160-2280,17.972452,10.867212,285,28
SUM,,,,2082
