no,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,0.686588,51.684523,23,23
120-240,8.046266,43.517684,38,51
240-360,22.518325,32.339044,46,52
360-480,24.619742,29.412981,54,58
480-600,25.810539,28.918455,43,61
600-720,21.773158,30.53104,60,53
720-840,33.075847,25.471678,68,62
840-960,36.880175,22.052674,79,63
960-1080,36.45809,22.312634,85,67
1080-1200,40.340053,20.248827,93,69
1200-1320,42.305669,19.097003,109,73
1320-1440,48.750952,16.137999,134,72
1440-1560,55.132079,14.365283,132,76
1560-1680,57.052061,14.338411,128,74
1680-1800,56.218325,14.49928,129,74
1800-1920,54.666605,14.641137,135,75
1920-2040,56.435605,14.129854,132,75
2040-2160,57.51929,14.164449,131,72
2160-2280,55.353288,14.409848,134,75
2280-2400,56.224115,14.115597,132,75
2400-2520,55.865037,14.29494,133,74
2520-2640,57.273672,14.064914,132,73
2640-2760,53.914377,14.560689,137,75
2760-2880,55.988701,14.184899,132,75
2880-3000,55.441912,14.356627,132,74
SUM,,,,1671
0-120,0.439749,51.615481,21,18
120-240,1.400052,50.212847,26,47
240-360,3.167744,48.335081,35,55
360-480,4.319635,46.74678,41,61
480-600,6.12101,44.571584,45,63
600-720,19.712401,33.188364,56,59
720-840,22.94944,30.944692,40,68
840-960,19.209373,33.62511,48,57
960-1080,21.697052,31.407036,63,64
1080-1200,36.390693,22.954521,78,58
1200-1320,37.763898,21.253601,98,67
1320-1440,44.452681,18.549977,106,72
1440-1560,49.460439,17.040663,106,72
1560-1680,51.113685,15.683815,129,75
1680-1800,55.088653,14.516286,131,75
1800-1920,56.784801,14.318928,130,73
1920-2040,55.527472,14.377432,133,75
2040-2160,56.783821,13.992063,132,73
2160-2280,55.587635,14.314359,132,76
2280-2400,54.524472,14.556829,135,73
2400-2520,55.554916,14.267737,135,74
2520-2640,55.29335,14.217168,135,75
2640-2760,56.750473,14.178895,130,75
2760-2880,56.751227,14.345696,131,74
2880-3000,56.559462,14.352463,132,74
SUM,,,,1653
0-120,0.295425,52.007941,17,15
120-240,1.713756,50.210273,37,43
240-360,15.39295,37.393959,44,51
360-480,18.730269,32.50693,43,58
480-600,16.348408,35.137521,57,59
600-720,28.776723,26.531015,69,57
720-840,38.09633,22.128711,57,61
840-960,31.618474,24.764636,65,60
960-1080,35.752499,23.069411,87,58
1080-1200,40.128228,20.68621,94,72
1200-1320,45.84718,18.098522,109,71
1320-1440,47.91076,16.854378,120,73
1440-1560,54.906255,15.112508,122,74
1560-1680,52.581328,14.978929,135,74
1680-1800,55.271148,14.323742,135,74
1800-1920,56.228479,14.098183,134,74
1920-2040,56.255363,14.061732,133,75
2040-2160,56.308695,14.293533,134,72
2160-2280,54.949826,14.363921,135,75
2280-2400,55.820411,14.192794,132,75
2400-2520,55.810798,14.269103,135,74
2520-2640,56.385332,14.304626,130,75
2640-2760,54.295095,14.659238,136,74
2760-2880,54.962982,14.23857,137,74
2880-3000,55.782144,14.284457,133,75
SUM,,,,1643
0-120,0.668712,51.566329,18,21
120-240,2.847786,49.19417,29,47
240-360,4.284164,47.52305,30,56
360-480,8.153446,43.138467,35,62
480-600,16.981387,35.1603,49,55
600-720,19.40595,33.10932,55,60
720-840,30.489618,25.294851,67,54
840-960,37.311178,21.807451,71,57
960-1080,36.723332,22.271613,89,62
1080-1200,40.955492,19.733466,103,69
1200-1320,47.902674,16.814971,121,74
1320-1440,51.48516,15.426186,133,73
1440-1560,55.543017,14.258221,133,74
1560-1680,56.408035,14.222891,131,75
1680-1800,56.57965,14.40118,127,75
1800-1920,56.166223,14.507798,130,73
1920-2040,55.299247,14.36451,135,76
2040-2160,56.909528,14.013229,132,74
2160-2280,56.267815,14.457137,127,75
2280-2400,56.100661,14.567517,131,73
2400-2520,54.339319,14.510859,135,75
2520-2640,56.516119,14.144981,134,74
2640-2760,55.032625,14.385532,132,76
2760-2880,56.745059,14.34361,129,74
2880-3000,54.967247,14.725621,132,74
SUM,,,,1658
0-120,2.066949,50.204222,29,28
120-240,3.49682,48.737365,25,55
240-360,2.20717,49.892892,26,50
360-480,2.234523,49.804021,34,50
480-600,16.245654,36.178031,41,55
600-720,21.436872,31.559452,49,54
720-840,28.088639,27.088016,64,51
840-960,37.194241,22.303417,76,56
960-1080,38.844522,21.06039,101,65
1080-1200,49.468453,17.498135,99,74
1200-1320,44.163035,18.030207,117,72
1320-1440,52.892645,15.315749,128,75
1440-1560,55.092957,14.400366,134,74
1560-1680,55.742591,14.410063,131,75
1680-1800,55.087834,14.482168,133,75
1800-1920,56.285843,14.404819,128,76
1920-2040,56.182082,14.476963,134,73
2040-2160,57.06726,14.003717,131,76
2160-2280,56.321957,14.36271,130,74
2280-2400,55.459795,14.372707,135,73
2400-2520,55.697283,14.25597,135,74
2520-2640,55.337902,14.306589,132,75
2640-2760,56.741509,14.264092,132,74
2760-2880,55.818859,14.359193,131,75
2880-3000,56.24152,14.3055,130,75
SUM,,,,1654
