our,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,1.48797,48.320311,25,21
120-240,5.858873,43.521693,37,54
240-360,24.55633,28.51282,50,47
360-480,24.445016,28.130937,56,60
480-600,18.899743,32.157512,36,70
600-720,9.280393,39.336508,49,57
720-840,21.526788,27.362918,64,55
840-960,22.73757,21.778552,75,63
960-1080,25.784175,18.40336,94,54
1080-1200,31.234856,9.321209,99,36
1200-1320,18.206974,17.715109,107,69
1320-1440,27.175982,12.050483,117,52
1440-1560,37.865522,8.687072,125,40
1560-1680,34.567782,6.059741,134,24
1680-1800,28.473866,10.919459,113,64
1800-1920,30.215773,8.817047,116,37
1920-2040,26.444601,14.678083,115,66
2040-2160,25.309752,14.818174,114,68
2160-2280,30.783216,12.908664,114,57
2280-2400,26.525668,13.435548,117,57
2400-2520,33.175266,8.21841,123,38
2520-2640,31.80916,13.256624,116,62
2640-2760,33.437508,9.368698,124,42
2760-2880,28.721697,13.992305,110,67
2880-3000,19.86776,15.097786,111,65
SUM,,,,1325
0-120,0.303184,49.53169,22,17
120-240,0.919948,48.75344,28,46
240-360,3.408438,45.698142,37,55
360-480,15.243794,34.986769,54,50
480-600,21.731244,28.78156,62,59
600-720,24.657959,19.965322,74,57
720-840,26.857259,22.103446,68,59
840-960,23.434912,20.259416,75,58
960-1080,22.753046,17.10376,92,54
1080-1200,23.040779,16.557867,109,56
1200-1320,27.238213,14.812693,109,66
1320-1440,23.119818,15.198399,111,67
1440-1560,22.771784,15.565875,109,67
1560-1680,26.427337,14.839968,113,69
1680-1800,30.746125,13.2695,111,58
1800-1920,33.249313,12.029092,120,54
1920-2040,32.694915,7.230336,125,32
2040-2160,32.008696,11.114388,117,53
2160-2280,24.019141,13.957713,111,65
2280-2400,22.448713,15.810039,110,67
2400-2520,27.024993,14.813224,115,65
2520-2640,32.626559,13.262651,113,59
2640-2760,30.445925,13.265187,113,58
2760-2880,32.666484,10.097604,116,49
2880-3000,32.756709,8.743,122,37
SUM,,,,1377
0-120,0.097676,49.913558,18,14
120-240,0.576981,49.141045,37,44
240-360,11.361482,39.00493,40,55
360-480,16.527382,33.071617,43,54
480-600,16.610294,33.498611,59,57
600-720,21.845743,27.943767,64,64
720-840,23.504844,28.553842,44,69
840-960,21.694283,29.269696,58,54
960-1080,21.212383,25.074283,74,62
1080-1200,21.681584,18.301301,93,57
1200-1320,21.71258,17.171779,112,59
1320-1440,31.64337,8.305597,120,37
1440-1560,28.134139,14.634312,115,67
1560-1680,31.243185,9.737384,121,46
1680-1800,27.245149,13.775251,115,65
1800-1920,29.465723,11.067552,114,50
1920-2040,37.060757,12.702581,117,59
2040-2160,37.568998,8.954983,124,43
2160-2280,33.197458,6.880692,131,31
2280-2400,36.929635,11.121398,119,60
2400-2520,35.811481,11.894272,119,56
2520-2640,34.992674,12.182449,120,54
2640-2760,36.005946,10.489481,122,46
2760-2880,32.477151,7.424413,122,38
2880-3000,34.693702,10.597612,124,49
SUM,,,,1290
0-120,0.451769,49.525947,18,21
120-240,0.941562,48.807642,27,49
240-360,6.147617,43.402578,33,51
360-480,13.509735,36.668175,43,57
480-600,20.692686,29.513388,58,54
600-720,24.054752,24.347336,72,52
720-840,24.93698,22.483522,77,61
840-960,26.091738,17.447799,82,56
960-1080,20.511309,20.3562,98,64
1080-1200,20.045383,16.705916,101,70
1200-1320,22.423066,14.364517,114,52
1320-1440,27.833234,11.476168,116,52
1440-1560,37.671083,8.509947,123,41
1560-1680,29.922437,10.466493,120,50
1680-1800,31.888197,8.037348,126,37
1800-1920,25.266197,12.673501,118,62
1920-2040,22.757874,15.255622,112,68
2040-2160,26.474651,13.328263,114,59
2160-2280,31.221913,13.07041,116,57
2280-2400,35.075984,8.614694,128,41
2400-2520,30.615436,7.882325,129,38
2520-2640,32.444161,11.892679,119,60
2640-2760,35.223598,11.15449,123,48
2760-2880,31.468574,7.745359,122,39
2880-3000,25.786569,14.082053,112,66
SUM,,,,1305
0-120,0.440397,49.418989,28,29
120-240,6.521726,43.050773,31,48
240-360,5.471282,43.682316,28,54
360-480,1.191029,48.460604,33,53
480-600,11.206172,38.489273,41,54
600-720,25.729158,27.216124,55,48
720-840,23.473325,25.050506,66,55
840-960,23.090524,21.095723,75,59
960-1080,21.363983,21.415756,101,61
1080-1200,22.448043,14.864094,108,60
1200-1320,27.076546,12.561703,110,56
1320-1440,34.997342,7.317793,121,29
1440-1560,33.000021,12.136071,116,60
1560-1680,22.918362,14.905312,110,65
1680-1800,21.744455,14.908721,111,65
1800-1920,23.37056,14.304402,114,62
1920-2040,32.541733,12.940233,119,60
2040-2160,33.293816,11.255943,116,52
2160-2280,33.144653,6.313451,125,28
2280-2400,32.027484,9.931843,123,48
2400-2520,30.00132,14.118564,112,69
2520-2640,22.890558,15.141697,111,64
2640-2760,24.322908,13.652674,110,59
2760-2880,24.467052,15.272234,109,68
2880-3000,23.099864,16.270377,110,68
SUM,,,,1374
