no1,,,,,,,,,,,,,,,
TIMEINT,L1_density,L1_delay,L1_Speed,L2_density,L2_delay,L2_Speed,L3_density,L3_delay,L3_Speed,L4_density,L4_delay,L4_Speed,L5_density,L5_delay,L5_Speed
0-120,12.440036,1.29%,51.097786,9.42488,0.24%,52.221324,23.368804,58.85%,19.691597,10.728888,23.27%,38.520218,12.153609,2.24%,49.054652
120-240,20.900512,3.35%,49.928608,19.772445,2.77%,50.903335,98.831137,86.47%,6.431262,39.615209,57.09%,21.618327,23.067718,3.07%,48.694294
240-360,61.047777,72.00%,14.726219,38.566508,32.17%,35.328643,130.221418,92.05%,3.704922,86.609054,81.61%,9.213492,26.438213,3.16%,49.15558
360-480,118.577457,91.03%,4.768394,84.286884,77.03%,12.122598,128.528743,92.44%,3.547876,103.765374,84.29%,7.897937,27.003328,2.49%,48.569142
480-600,126.271737,92.85%,3.833741,107.991755,84.96%,7.873664,173.433409,100.00%,0,50.188516,31.66%,35.507702,32.330097,5.53%,48.706131
600-720,,,,,,,,,,,,,,,
720-840,,,,,,,,,,,,,,,
840-960,,,,,,,,,,,,,,,
960-1080,,,,,,,,,,,,,,,
1080-1200,,,,,,,,,,,,,,,
1200-1320,,,,,,,,,,,,,,,
1320-1440,,,,,,,,,,,,,,,
1440-1560,,,,,,,,,,,,,,,
1560-1680,,,,,,,,,,,,,,,
1680-1800,,,,,,,,,,,,,,,
1800-1920,,,,,,,,,,,,,,,
1920-2040,,,,,,,,,,,,,,,
2040-2160,,,,,,,,,,,,,,,
2160-2280,,,,,,,,,,,,,,,
2280-2400,,,,,,,,,,,,,,,
2400-2520,,,,,,,,,,,,,,,
2520-2640,,,,,,,,,,,,,,,
2640-2760,,,,,,,,,,,,,,,
2760-2880,,,,,,,,,,,,,,,
2880-3000,,,,,,,,,,,,,,,
