no1,,,,,,,,,,,,,,,
TIMEINT,L1_density,L1_delay,L1_Speed,L2_density,L2_delay,L2_Speed,L3_density,L3_delay,L3_Speed,L4_density,L4_delay,L4_Speed,L5_density,L5_delay,L5_Speed
0-120,12.445235,1.40%,51.077505,9.426931,0.30%,52.196623,29.452585,70.43%,14.587984,30.437467,79.07%,10.787666,2.531054,1.23%,47.29999
120-240,33.370479,45.01%,28.492685,29.53419,39.54%,31.608524,142.413448,98.53%,0.770663,132.180954,98.66%,0.701674,0,,
240-360,83.846205,81.74%,9.528627,76.379469,82.72%,9.096174,160.270723,99.98%,0.00853,158.841104,99.98%,0.009423,0,,
360-480,,,,,,,,,,,,,,,
480-600,,,,,,,,,,,,,,,
600-720,,,,,,,,,,,,,,,
720-840,,,,,,,,,,,,,,,
840-960,,,,,,,,,,,,,,,
960-1080,,,,,,,,,,,,,,,
1080-1200,,,,,,,,,,,,,,,
1200-1320,,,,,,,,,,,,,,,
1320-1440,,,,,,,,,,,,,,,
1440-1560,,,,,,,,,,,,,,,
1560-1680,,,,,,,,,,,,,,,
1680-1800,,,,,,,,,,,,,,,
1800-1920,,,,,,,,,,,,,,,
1920-2040,,,,,,,,,,,,,,,
2040-2160,,,,,,,,,,,,,,,
2160-2280,,,,,,,,,,,,,,,
2280-2400,,,,,,,,,,,,,,,
2400-2520,,,,,,,,,,,,,,,
2520-2640,,,,,,,,,,,,,,,
2640-2760,,,,,,,,,,,,,,,
2760-2880,,,,,,,,,,,,,,,
2880-3000,,,,,,,,,,,,,,,
