no1,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,25.71128,28.936477,39,4
120-240,63.638426,10.722398,111,0
240-360,26.993829,4.88562,139,0
360-480,,,0,0
480-600,,,0,0
600-720,,,0,0
720-840,,,0,0
840-960,,,0,0
960-1080,,,0,0
1080-1200,,,0,0
1200-1320,,,0,0
1320-1440,,,0,0
1440-1560,,,0,0
1560-1680,,,0,0
1680-1800,,,0,0
1800-1920,,,0,0
1920-2040,,,0,0
2040-2160,,,0,0
2160-2280,,,0,0
2280-2400,,,0,0
2400-2520,,,0,0
2520-2640,,,0,0
2640-2760,,,0,0
2760-2880,,,0,0
2880-3000,,,0,0
