no1,,,,,,,,,,,,,,,
TIMEINT,L1_density,L1_delay,L1_Speed,L2_density,L2_delay,L2_Speed,L3_density,L3_delay,L3_Speed,L4_density,L4_delay,L4_Speed,L5_density,L5_delay,L5_Speed
0-120,12.673782,1.07%,46.577874,9.804311,0.07%,50.075657,28.981381,66.72%,15.524059,16.339342,52.81%,23.190971,8.652817,0.00%,47.284638
120-240,28.942498,4.25%,33.108866,26.034601,32.64%,5.8208,44.872866,56.00%,18.26794,65.343887,98.14%,0.877539,15.811474,0.00%,45.391949
240-360,53.845028,20.32%,7.171233,56.724373,24.38%,11.020206,67.365143,91.29%,3.514473,60.399107,84.88%,6.86135,12.395948,1.56%,46.775803
360-480,78.791097,15.17%,4.711696,70.680201,15.58%,4.777044,101.066572,97.92%,0.780903,112.093061,98.13%,0.476917,0,0.00%,0
480-600,100.023948,11.97%,4.854331,95.825772,11.41%,4.933205,101.529215,88.01%,5.03657,149.236093,97.78%,0.489577,15.370634,1.70%,45.513834
600-720,,,,,,,,,,,,,,,
720-840,,,,,,,,,,,,,,,
840-960,,,,,,,,,,,,,,,
960-1080,,,,,,,,,,,,,,,
1080-1200,,,,,,,,,,,,,,,
1200-1320,,,,,,,,,,,,,,,
1320-1440,,,,,,,,,,,,,,,
1440-1560,,,,,,,,,,,,,,,
1560-1680,,,,,,,,,,,,,,,
1680-1800,,,,,,,,,,,,,,,
1800-1920,,,,,,,,,,,,,,,
1920-2040,,,,,,,,,,,,,,,
2040-2160,,,,,,,,,,,,,,,
2160-2280,,,,,,,,,,,,,,,
2280-2400,,,,,,,,,,,,,,,
2400-2520,,,,,,,,,,,,,,,
2520-2640,,,,,,,,,,,,,,,
2640-2760,,,,,,,,,,,,,,,
2760-2880,,,,,,,,,,,,,,,
2880-3000,,,,,,,,,,,,,,,
