no1,,,,,,,,,,,,,,,
TIMEINT,L1_density,L1_delay,L1_Speed,L2_density,L2_delay,L2_Speed,L3_density,L3_delay,L3_Speed,L4_density,L4_delay,L4_Speed,L5_density,L5_delay,L5_Speed
0-120,12.445853,1.30%,51.066187,9.428363,0.32%,52.18705,26.089173,64.76%,17.220838,9.083361,10.53%,45.498478,11.552608,1.85%,49.132631
120-240,20.697189,2.25%,50.493991,19.634456,2.00%,51.26953,92.34472,84.91%,7.295075,28.341867,38.62%,31.285793,27.722959,3.44%,48.709398
240-360,54.150195,63.66%,19.153965,34.270903,18.97%,42.323423,137.524885,92.27%,3.628967,71.720773,67.45%,16.52582,31.649514,5.92%,47.459967
360-480,112.303539,89.12%,5.706891,48.395112,37.98%,32.900481,120.207965,86.83%,6.223293,129.236298,91.19%,4.534133,28.41968,3.96%,47.020546
480-600,,,,,,,,,,,,,,,
600-720,,,,,,,,,,,,,,,
720-840,,,,,,,,,,,,,,,
840-960,,,,,,,,,,,,,,,
960-1080,,,,,,,,,,,,,,,
1080-1200,,,,,,,,,,,,,,,
1200-1320,,,,,,,,,,,,,,,
1320-1440,,,,,,,,,,,,,,,
1440-1560,,,,,,,,,,,,,,,
1560-1680,,,,,,,,,,,,,,,
1680-1800,,,,,,,,,,,,,,,
1800-1920,,,,,,,,,,,,,,,
1920-2040,,,,,,,,,,,,,,,
2040-2160,,,,,,,,,,,,,,,
2160-2280,,,,,,,,,,,,,,,
2280-2400,,,,,,,,,,,,,,,
2400-2520,,,,,,,,,,,,,,,
2520-2640,,,,,,,,,,,,,,,
2640-2760,,,,,,,,,,,,,,,
2760-2880,,,,,,,,,,,,,,,
2880-3000,,,,,,,,,,,,,,,
