equal,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,10.322867,41.451597,37,19
120-240,10.209868,40.108854,54,56
240-360,8.858878,42.0719,39,84
360-480,12.415347,39.144917,53,61
480-600,11.297017,39.666993,37,79
600-720,13.807244,37.894746,47,72
720-840,15.996735,37.404353,36,79
840-960,9.220282,41.401629,44,66
960-1080,13.737327,38.100591,48,75
1080-1200,13.004642,38.647864,49,75
1200-1320,12.424501,38.521079,58,73
1320-1440,15.354605,36.129164,43,76
1440-1560,12.54639,38.659008,64,71
1560-1680,14.639403,36.147903,44,78
1680-1800,15.831637,36.384294,48,69
1800-1920,17.619275,35.101497,60,77
1920-2040,14.706076,37.056633,53,89
2040-2160,17.13859,35.425139,50,76
2160-2280,12.272187,38.783461,69,90
2280-2400,14.397088,36.355603,58,95
2400-2520,14.370148,37.196928,74,86
2520-2640,14.933321,36.337508,58,101
2640-2760,17.256503,35.338026,60,89
2760-2880,13.014407,38.104096,62,94
2880-3000,15.793356,35.7966,69,95
3000-3120,19.718523,33.363204,69,94
3120-3240,13.41703,37.251353,67,98
3240-3360,15.248028,36.980939,66,104
3360-3480,15.871978,36.087427,53,95
3480-3600,12.969201,38.37182,57,84
3600-3720,12.392311,38.910717,67,99
3720-3840,14.291663,37.819102,78,107
3840-3960,12.803655,37.761081,72,115
3960-4080,13.312416,37.57935,76,103
4080-4200,16.876691,35.633469,71,108
4200-4320,14.146119,37.671614,62,113
4320-4440,12.685516,37.853909,79,93
4440-4560,17.177479,35.363711,80,110
4560-4680,12.710373,37.716034,81,116
4680-4800,18.934558,33.999013,83,110
4800-4920,15.521076,36.424122,97,121
4920-5040,15.065195,36.355169,88,139
5040-5160,17.554049,34.415623,80,127
5160-5280,16.826715,35.34014,88,114
5280-5400,13.547788,36.620659,85,118
5400-5520,15.861173,36.744687,83,123
5520-5640,18.077124,34.36661,90,123
5640-5760,14.277737,36.804581,80,130
5760-5880,14.925214,35.922866,88,103
5880-6000,18.172197,34.348371,95,121
6000-6120,16.943378,34.944301,96,129
6120-6240,15.918623,35.406099,94,135
6240-6360,18.471386,34.622132,108,134
6360-6480,16.21478,35.229791,102,147
6480-6600,15.700144,35.692463,95,147
6600-6720,17.412512,35.071628,110,128
6720-6840,17.695021,33.93112,95,143
6840-6960,15.821834,35.582561,123,136
6960-7080,22.180455,31.311388,125,150
7080-7200,22.387652,30.743409,96,154
7200-7320,18.956134,33.603352,117,138
7320-7440,22.160463,31.697557,112,147
7440-7560,18.72395,33.381722,111,145
7560-7680,15.859133,35.266549,121,149
7680-7800,19.977784,32.860071,103,152
7800-7920,18.368544,33.880291,95,138
7920-8040,17.956652,33.987364,104,133
8040-8160,18.061534,33.63891,107,139
8160-8280,21.300809,32.455309,113,138
8280-8400,22.451763,31.127442,137,146
