scats,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,10.569162,41.426209,36,20
120-240,11.207963,39.565738,50,59
240-360,13.419558,38.581354,42,77
360-480,13.967909,38.092396,48,69
480-600,10.654541,40.700386,32,79
600-720,12.060922,39.608314,50,64
720-840,17.711977,35.968776,43,75
840-960,11.599329,39.011414,46,71
960-1080,16.546754,35.372159,62,63
1080-1200,12.141285,39.028046,53,85
1200-1320,14.097813,37.047329,60,75
1320-1440,16.887728,35.183948,43,78
1440-1560,12.860102,38.043854,72,63
1560-1680,15.263441,35.213499,51,79
1680-1800,13.371488,37.569348,56,68
1800-1920,13.947854,37.417837,62,83
1920-2040,14.215814,37.068506,61,83
2040-2160,13.049357,37.992364,51,83
2160-2280,14.631259,36.611321,77,83
2280-2400,16.045451,35.000422,63,98
2400-2520,12.524729,38.496656,74,91
2520-2640,17.399172,34.635908,65,94
2640-2760,17.141886,35.189186,64,92
2760-2880,17.913448,33.896825,72,88
2880-3000,14.696905,36.545116,71,103
3000-3120,16.421787,35.207303,66,99
3120-3240,13.094316,37.902992,73,89
3240-3360,19.018999,33.791872,79,97
3360-3480,15.016457,36.689498,50,111
3480-3600,15.570703,36.529344,64,74
3600-3720,16.005233,35.416751,80,93
3720-3840,20.823,32.630351,93,105
3840-3960,21.812481,31.158534,90,112
3960-4080,21.881611,30.461706,101,96
4080-4200,27.212238,27.949485,99,105
4200-4320,29.498729,26.807818,98,105
4320-4440,28.567621,26.143123,115,93
4440-4560,31.790496,24.980981,119,107
4560-4680,36.754966,21.625457,143,93
4680-4800,39.529197,20.830995,146,109
4800-4920,43.120395,19.247321,176,105
4920-5040,39.483415,16.85899,187,88
SUM,,,,3604
0-120,7.312234,44.347654,25,18
120-240,9.24163,41.736926,45,45
240-360,12.672826,37.930368,52,65
360-480,17.151863,35.549491,56,71
480-600,18.727135,34.035255,45,77
600-720,17.282916,35.120132,43,68
720-840,17.116411,36.140273,51,74
840-960,13.568324,37.386432,59,75
960-1080,14.440407,36.805034,59,89
1080-1200,15.982664,36.433971,53,80
1200-1320,10.70651,39.613255,45,73
1320-1440,12.072002,38.634066,40,62
1440-1560,13.449109,38.516113,54,64
1560-1680,14.425581,36.706758,59,65
1680-1800,10.491348,40.07451,58,77
1800-1920,18.474664,33.964952,70,79
1920-2040,17.074658,34.646066,64,91
2040-2160,16.24885,34.851803,65,79
2160-2280,13.849787,37.402132,75,93
2280-2400,15.484291,35.135855,61,93
2400-2520,12.459584,38.108875,68,83
2520-2640,17.518271,34.845542,66,90
2640-2760,15.532719,36.623421,48,90
2760-2880,12.972153,37.429668,70,70
2880-3000,15.98859,35.644974,71,98
3000-3120,21.331893,31.885968,85,88
3120-3240,23.699537,30.22535,79,96
3240-3360,17.915234,34.171559,77,109
3360-3480,20.261559,32.674133,72,96
3480-3600,18.145971,34.212865,75,102
3600-3720,21.001648,31.999152,89,99
3720-3840,20.273497,32.909416,90,114
3840-3960,24.22591,29.306601,88,102
3960-4080,21.094568,31.579793,88,103
4080-4200,22.447107,30.932101,82,104
4200-4320,19.632182,33.358595,78,103
4320-4440,18.021355,34.045167,79,105
4440-4560,16.500486,35.105154,90,99
4560-4680,19.167173,32.893328,87,109
4680-4800,23.560106,30.153216,107,104
4800-4920,31.202725,25.799039,131,107
4920-5040,37.410545,22.277748,140,115
5040-5160,43.54335,19.811739,127,112
5160-5280,37.055382,22.224698,142,111
5280-5400,41.512211,20.229283,153,109
5400-5520,40.793615,17.419436,160,83
SUM,,,,3621
0-120,12.214775,40.959304,24,20
120-240,11.86491,39.437559,46,42
240-360,13.183372,37.617271,51,73
360-480,19.231743,35.017367,46,75
480-600,13.711677,38.201418,37,78
600-720,17.590082,36.340232,48,59
720-840,10.597386,39.755485,62,75
840-960,16.222092,35.307113,53,81
960-1080,17.009879,34.776282,56,74
1080-1200,15.540857,36.530116,61,75
1200-1320,15.325135,35.804449,53,78
1320-1440,12.487533,37.57394,52,65
1440-1560,12.598613,38.528492,49,73
1560-1680,8.429518,41.876363,57,67
1680-1800,16.781721,34.811539,66,68
1800-1920,15.571246,36.043718,64,89
1920-2040,19.641361,32.465046,69,87
2040-2160,12.626553,37.779306,75,90
2160-2280,15.135155,36.575765,73,103
2280-2400,14.325557,36.241133,59,88
2400-2520,15.574276,35.660142,73,84
2520-2640,13.952974,37.524031,64,99
2640-2760,19.036836,33.828759,68,84
2760-2880,14.03142,36.876577,58,91
2880-3000,16.944315,35.597013,81,84
3000-3120,16.552663,34.763428,81,105
3120-3240,19.330351,33.678366,89,105
3240-3360,20.881792,31.608151,82,109
3360-3480,22.850179,31.166853,85,101
3480-3600,28.101881,27.118135,96,93
3600-3720,35.638987,23.09631,118,85
3720-3840,38.173324,21.600094,128,95
3840-3960,41.285804,20.300606,122,99
3960-4080,45.701335,17.978662,136,83
4080-4200,36.71564,15.300121,144,47
SUM,,,,2824
0-120,9.445792,43.247074,33,29
120-240,11.988564,40.329919,42,61
240-360,10.741997,39.988614,43,69
360-480,13.758453,38.471885,37,67
480-600,13.026774,38.768642,36,65
600-720,13.075302,39.140906,45,72
720-840,16.60398,35.779322,67,60
840-960,17.506589,34.620716,39,92
960-1080,11.683279,40.02074,43,67
1080-1200,10.736662,40.527937,45,72
1200-1320,16.205817,35.892959,58,60
1320-1440,12.310101,38.484871,56,79
1440-1560,14.135406,36.577845,57,69
1560-1680,14.085133,36.614044,58,71
1680-1800,16.55331,35.187921,70,78
1800-1920,18.277516,33.78678,67,93
1920-2040,12.407611,38.637704,64,98
2040-2160,11.500437,38.249836,58,87
2160-2280,17.564014,35.132604,74,80
2280-2400,20.761662,31.992039,68,96
2400-2520,15.643595,35.804216,77,95
2520-2640,13.952176,36.762708,58,96
2640-2760,15.640188,36.68237,70,87
2760-2880,18.082426,34.595842,72,98
2880-3000,16.519011,35.267447,82,98
3000-3120,18.290063,33.338732,97,107
3120-3240,25.249252,29.400522,113,111
3240-3360,34.03029,24.118466,111,108
3360-3480,36.052694,23.478903,101,105
3480-3600,34.266308,23.388754,102,85
3600-3720,29.184207,26.85943,114,109
3720-3840,33.079278,24.669553,105,108
3840-3960,31.861304,25.203463,108,107
3960-4080,33.391289,25.026402,103,102
4080-4200,30.515582,25.320563,103,101
4200-4320,37.626,21.969704,130,86
4320-4440,40.497337,20.315355,146,103
4440-4560,45.376563,17.837591,164,90
4560-4680,37.277381,17.509691,162,81
SUM,,,,3342
0-120,8.88419,42.707685,45,22
120-240,15.648609,37.174887,47,73
240-360,14.001668,37.076507,52,69
360-480,12.612202,39.169239,42,74
480-600,13.135383,38.38829,34,65
600-720,10.855587,40.580865,54,62
720-840,12.324963,39.053284,44,77
840-960,18.631343,34.597619,46,67
960-1080,17.438655,35.899697,54,68
1080-1200,12.179949,38.268385,45,77
1200-1320,12.803501,38.379943,48,69
1320-1440,13.895431,37.661262,63,72
1440-1560,14.876783,36.540499,48,83
1560-1680,13.94653,38.052986,49,77
1680-1800,12.515074,39.597597,50,82
1800-1920,18.852096,34.228105,75,78
1920-2040,16.540347,34.974995,70,98
2040-2160,16.716686,34.413025,57,83
2160-2280,16.030356,36.08293,61,83
2280-2400,14.784608,36.48427,57,87
2400-2520,18.193063,33.779923,78,74
2520-2640,16.917049,34.363355,60,95
2640-2760,20.426316,33.397912,74,83
2760-2880,23.012554,31.211622,82,95
2880-3000,19.429603,32.529037,77,97
3000-3120,16.85524,34.42502,85,100
3120-3240,20.893475,31.819483,102,102
3240-3360,28.024252,27.853159,74,111
3360-3480,20.985259,32.074926,76,95
3480-3600,15.722242,35.076898,86,99
3600-3720,28.57074,28.030851,115,97
3720-3840,27.162191,27.879356,91,123
3840-3960,25.560036,29.180646,92,108
3960-4080,27.918915,27.902313,103,103
4080-4200,29.277487,26.844721,79,107
4200-4320,20.972746,31.492441,92,94
4320-4440,26.7693,28.313618,108,101
4440-4560,27.622375,27.222885,107,105
4560-4680,33.573838,23.890688,122,102
4680-4800,39.217382,21.659552,129,102
4800-4920,37.672739,22.289218,133,110
4920-5040,39.122353,21.184542,137,108
5040-5160,40.985707,19.607157,155,104
5160-5280,41.578222,17.114235,165,85
SUM,,,,3866
