scoot,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,10.569162,41.426209,36,20
120-240,11.881561,39.022464,51,58
240-360,14.540915,37.632493,43,77
360-480,13.563332,38.122977,52,66
480-600,11.317875,40.067112,32,83
600-720,11.886409,39.651017,49,65
720-840,16.03534,37.454106,38,79
840-960,9.060625,41.296684,43,69
960-1080,15.643138,36.75964,53,69
1080-1200,14.297146,37.458021,53,76
1200-1320,13.974914,37.117073,58,77
1320-1440,20.069909,33.550977,38,81
1440-1560,14.860524,37.346441,67,63
1560-1680,16.410002,34.54605,49,76
1680-1800,11.509052,39.555664,52,70
1800-1920,14.653841,37.140761,59,82
1920-2040,14.345346,37.243713,55,86
2040-2160,13.683532,38.224174,43,85
2160-2280,11.906332,39.259815,73,79
2280-2400,15.631068,35.047145,66,91
2400-2520,13.453235,37.754655,77,91
2520-2640,15.965173,35.406886,63,99
2640-2760,20.0173,33.294711,66,88
2760-2880,21.723513,31.27766,79,83
2880-3000,12.999022,37.50593,71,110
3000-3120,17.579094,34.212024,70,95
3120-3240,13.096037,37.725129,76,90
3240-3360,21.565987,31.924757,86,93
3360-3480,19.886971,32.661839,60,108
3480-3600,16.165492,35.723442,64,84
3600-3720,20.109081,32.229661,92,81
3720-3840,24.591872,29.826724,104,106
3840-3960,23.327491,29.839915,95,118
3960-4080,22.219809,30.816102,94,108
4080-4200,23.215936,30.598822,91,106
4200-4320,25.728095,29.238807,91,104
4320-4440,19.953657,31.748975,95,106
4440-4560,22.524484,30.928713,97,109
4560-4680,25.652119,28.071274,112,102
4680-4800,29.366683,26.597757,113,111
4800-4920,28.702431,26.819572,133,115
4920-5040,36.109612,22.918478,150,113
5040-5160,41.120941,19.720039,152,117
5160-5280,42.206669,19.783336,166,108
5280-5400,42.136292,19.256078,164,117
5400-5520,49.813237,16.639809,178,107
5520-5640,52.761846,15.394203,200,108
5640-5760,21.139433,15.692971,200,36
SUM,,,,4265
0-120,7.312234,44.347654,25,18
120-240,9.24163,41.736926,45,45
240-360,12.898917,37.814843,52,65
360-480,17.948474,34.866863,60,67
480-600,17.208955,34.708781,43,83
600-720,17.870534,34.896114,43,66
720-840,19.262771,34.918428,53,72
840-960,12.866172,37.745405,59,77
960-1080,16.225927,35.326047,66,82
1080-1200,14.492379,37.093763,56,84
1200-1320,9.813739,40.446442,42,79
1320-1440,12.732587,38.286527,41,58
1440-1560,12.912441,38.962858,54,65
1560-1680,12.870229,38.067549,53,71
1680-1800,11.157263,39.666377,59,70
1800-1920,14.939289,36.726368,67,83
1920-2040,15.831248,35.338962,66,86
2040-2160,15.793159,35.196679,65,81
2160-2280,15.071823,36.237119,75,93
2280-2400,15.168941,35.619341,61,93
2400-2520,13.350937,37.273106,68,83
2520-2640,17.011887,35.2889,66,90
2640-2760,15.998873,36.127407,50,88
2760-2880,11.991644,38.242553,70,72
2880-3000,15.52645,35.894055,71,98
3000-3120,20.681872,32.467957,82,91
3120-3240,20.635209,32.279143,75,97
3240-3360,17.033408,34.802076,76,106
3360-3480,18.715134,33.677091,69,98
3480-3600,15.874169,35.91044,71,103
3600-3720,19.706711,33.191189,85,99
3720-3840,21.471973,32.055693,95,105
3840-3960,27.470366,27.47102,94,101
3960-4080,22.091425,30.544239,93,104
4080-4200,23.874613,29.884092,86,105
4200-4320,21.157817,32.168454,80,105
4320-4440,20.306088,32.405157,82,104
4440-4560,20.020927,32.58822,95,97
4560-4680,22.726389,30.16234,95,106
4680-4800,25.502674,28.780087,114,105
4800-4920,32.857927,24.851622,133,112
4920-5040,38.71556,21.548784,146,111
5040-5160,44.729537,19.040115,136,109
5160-5280,37.722859,21.75524,148,114
5280-5400,41.300202,20.279484,157,111
5400-5520,44.799046,18.404671,153,111
5520-5640,45.530052,18.185416,146,109
5640-5760,42.817618,19.339897,155,108
5760-5880,42.998524,19.434906,153,104
5880-6000,48.864238,17.221393,169,107
6000-6120,1.359595,16.72928,171,1
SUM,,,,4492
0-120,12.214775,40.959304,24,20
120-240,11.781481,39.583551,45,43
240-360,13.555797,37.315432,53,70
360-480,16.473468,36.607582,43,80
480-600,14.394874,37.932637,37,75
600-720,16.778045,36.875954,46,61
720-840,10.768686,39.767521,61,74
840-960,17.141232,34.594725,57,76
960-1080,14.878809,36.178003,50,84
1080-1200,16.20297,36.517716,58,72
1200-1320,16.882387,34.996636,49,79
1320-1440,14.154766,36.511074,52,61
1440-1560,12.852147,38.305281,51,71
1560-1680,8.145434,41.913489,59,67
1680-1800,16.689183,34.697793,66,70
1800-1920,14.820473,36.69408,66,87
1920-2040,16.398522,34.841641,67,91
2040-2160,15.339828,35.296486,78,85
2160-2280,15.430453,36.305745,77,102
2280-2400,13.836714,36.591851,56,95
2400-2520,14.417314,36.735545,73,81
2520-2640,14.508248,36.8879,70,93
2640-2760,18.83136,33.69054,70,88
2760-2880,15.147345,35.622432,65,86
2880-3000,15.689713,35.958178,84,88
3000-3120,15.562812,35.646329,79,110
3120-3240,20.458485,32.701018,94,98
3240-3360,21.643975,31.185766,83,113
3360-3480,18.505506,33.630192,82,105
3480-3600,16.411724,35.313665,75,111
3600-3720,23.785652,30.004594,90,92
3720-3840,22.250504,31.112436,93,102
3840-3960,23.919682,29.777167,84,102
3960-4080,19.746062,32.597004,76,105
4080-4200,20.09967,31.790731,96,88
4200-4320,25.449773,29.826502,90,108
4320-4440,20.329254,32.38631,90,116
4440-4560,16.437465,34.81999,87,116
4560-4680,21.659645,32.046331,83,103
4680-4800,22.087331,31.254329,99,108
4800-4920,24.23849,29.753187,91,114
4920-5040,22.701436,30.150023,110,101
5040-5160,28.73724,27.478215,89,109
5160-5280,24.759738,29.684647,107,109
5280-5400,30.012077,26.672368,115,111
5400-5520,29.212847,26.284891,107,114
5520-5640,24.344486,28.919322,102,112
5640-5760,21.243357,31.061692,116,117
5760-5880,27.726909,27.496033,117,117
5880-6000,31.760505,25.111039,129,112
6000-6120,39.178176,21.192336,139,108
6120-6240,35.465444,22.985961,152,121
6240-6360,41.430015,19.788867,175,115
6360-6480,46.404632,17.649263,201,116
6480-6600,33.745693,14.677759,234,60
SUM,,,,5112
0-120,9.445792,43.247074,33,29
120-240,13.654733,38.845695,49,54
240-360,10.210153,40.09132,42,77
360-480,14.123689,38.147097,40,63
480-600,13.707248,38.203069,35,69
600-720,11.940461,39.889666,48,68
720-840,17.116151,35.3142,66,64
840-960,18.633157,33.965406,44,86
960-1080,11.740893,39.57051,45,70
1080-1200,9.860343,41.202132,42,77
1200-1320,16.340836,36.107003,57,58
1320-1440,12.878676,38.205525,51,83
1440-1560,14.366231,36.824962,53,68
1560-1680,13.843842,37.088342,53,72
1680-1800,17.832886,34.578537,72,71
1800-1920,16.220402,35.442752,63,99
1920-2040,14.655579,36.601433,68,90
2040-2160,9.938676,39.724745,55,94
2160-2280,18.542763,34.592474,75,76
2280-2400,17.859697,33.983209,69,96
2400-2520,13.864886,36.759944,79,94
2520-2640,12.696739,37.575981,59,97
2640-2760,15.65544,36.612204,69,89
2760-2880,16.973167,35.540241,69,100
2880-3000,16.367764,35.488546,80,97
3000-3120,18.311971,33.430467,98,104
3120-3240,27.997421,27.732597,120,105
3240-3360,34.208644,24.187421,110,116
3360-3480,31.833404,25.693994,93,112
3480-3600,26.785255,27.577885,86,93
3600-3720,23.896258,30.342548,101,106
3720-3840,22.729602,30.788927,82,118
3840-3960,22.554457,30.963075,90,102
3960-4080,23.843474,30.452335,80,107
4080-4200,14.143125,36.802993,71,110
4200-4320,22.20133,31.455555,94,90
4320-4440,26.393733,28.453236,110,103
4440-4560,24.391032,29.003977,107,111
4560-4680,26.929122,28.311185,109,114
4680-4800,31.949651,25.354776,104,108
4800-4920,23.625356,29.694573,89,116
4920-5040,25.411339,28.303245,101,93
5040-5160,22.762185,30.305375,107,111
5160-5280,28.952316,27.207738,120,116
5280-5400,36.979086,22.588962,148,110
5400-5520,40.116128,20.506845,163,114
5520-5640,42.186265,19.371046,157,116
5640-5760,42.726955,19.007911,190,110
5760-5880,52.140266,15.371757,205,113
5880-6000,23.509956,15.01176,214,36
SUM,,,,4575
0-120,8.88419,42.707685,45,22
120-240,16.77263,36.341801,52,68
240-360,13.486616,37.096161,53,73
360-480,14.207821,37.808942,43,74
480-600,13.844274,37.783739,34,66
600-720,9.173558,41.841953,57,59
720-840,15.780654,36.20094,49,75
840-960,9.524492,41.420934,44,74
960-1080,9.630557,41.835738,45,75
1080-1200,12.117244,38.861729,43,70
1200-1320,12.994338,38.093182,54,61
1320-1440,10.885283,40.162128,61,80
1440-1560,17.06338,34.80413,52,77
1560-1680,14.751402,37.313299,49,81
1680-1800,16.115714,36.510381,56,76
1800-1920,23.114811,31.142265,79,80
1920-2040,20.473347,32.364141,75,97
2040-2160,13.031514,37.468176,49,96
2160-2280,16.596213,35.711646,66,70
2280-2400,15.464394,35.623799,64,85
2400-2520,15.321161,35.232358,78,81
2520-2640,20.559342,32.723047,61,94
2640-2760,17.802582,35.145705,64,94
2760-2880,17.996929,34.970515,67,100
2880-3000,17.269052,34.52676,67,92
3000-3120,17.210011,34.840024,81,94
3120-3240,20.269791,32.093731,101,99
3240-3360,36.166449,23.802616,86,98
3360-3480,32.722609,25.784279,90,93
3480-3600,20.78239,31.616842,92,107
3600-3720,25.397208,29.439951,109,109
3720-3840,30.607622,26.223141,98,110
3840-3960,26.290467,28.544353,93,114
3960-4080,34.284822,24.731601,115,92
4080-4200,33.762799,24.073572,91,107
4200-4320,20.111122,32.151144,88,110
4320-4440,22.20885,31.153638,97,108
4440-4560,20.628572,32.156943,92,109
4560-4680,24.050906,29.417536,99,110
4680-4800,29.47307,27.383385,100,108
4800-4920,32.457013,25.306082,117,97
4920-5040,29.807073,25.864592,111,118
5040-5160,30.508095,25.439966,125,108
5160-5280,35.767671,23.354491,137,115
5280-5400,38.178159,21.646186,148,119
5400-5520,42.473454,19.619956,178,113
5520-5640,12.605757,20.230575,172,24
SUM,,,,4182
