our,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,0.813977,48.024725,23,25
120-240,0.729662,47.929969,33,49
240-360,0.846646,47.765323,30,60
360-480,1.797863,46.709394,28,54
480-600,1.282677,47.148359,28,56
600-720,1.241066,47.2581,32,55
720-840,2.17926,46.142881,27,57
840-960,1.124346,47.328389,38,44
960-1080,2.086587,46.291856,40,73
1080-1200,1.743104,46.584483,26,66
1200-1320,1.474676,47.045897,47,56
1320-1440,1.50165,46.444414,31,69
1440-1560,2.393531,45.945255,42,61
1560-1680,0.850254,47.591706,41,68
1680-1800,3.370399,44.914348,36,69
1800-1920,1.73238,46.700456,41,72
1920-2040,1.896209,46.376454,53,69
2040-2160,3.009175,45.183845,55,85
2160-2280,2.501557,45.525788,57,84
2280-2400,2.377623,45.765206,36,90
2400-2520,1.832582,46.636237,40,73
2520-2640,1.216064,47.182769,32,70
2640-2760,1.618011,46.97109,41,73
2760-2880,2.500212,45.760062,35,70
2880-3000,1.415111,47.081783,38,70
3000-3120,1.812822,46.594802,51,70
3120-3240,2.999145,45.243831,56,84
3240-3360,39.216763,15.809145,90,31
3360-3480,62.389573,4.478622,142,0
3480-3600,25.369608,18.235544,126,100
3600-3720,15.215952,21.682741,120,104
3720-3840,20.697994,19.617847,124,95
3840-3960,15.955073,20.658685,121,103
3960-4080,27.644713,14.495704,144,60
4080-4200,25.280761,16.502379,136,96
4200-4320,20.360118,18.969409,129,97
4320-4440,16.40105,20.31534,125,105
4440-4560,28.593207,14.303707,159,60
4560-4680,23.565946,17.244391,137,108
4680-4800,28.160209,14.840249,145,78
4800-4920,21.192591,17.913262,139,100
4920-5040,26.598386,13.207539,130,74
5040-5160,19.267952,19.843777,129,97
5160-5280,22.386769,17.288504,125,90
5280-5400,27.048426,14.204248,140,65
5400-5520,27.816864,15.168616,153,82
5520-5640,24.840789,17.324219,145,103
5640-5760,21.208458,18.796344,144,103
5760-5880,23.22711,17.889283,140,100
5880-6000,20.87422,19.213792,130,108
6000-6120,17.306752,20.45713,126,101
6120-6240,13.681709,23.333436,130,109
6240-6360,17.290028,22.266039,138,110
6360-6480,32.061256,12.582344,152,70
6480-6600,31.783584,13.523281,145,75
6600-6720,22.042328,18.148121,138,103
6720-6840,29.132757,13.630123,157,73
6840-6960,36.436369,10.569307,182,57
6960-7080,28.769274,14.081115,176,103
7080-7200,22.475889,17.10273,162,115
7200-7320,25.411868,16.197016,156,101
7320-7440,24.252408,18.090854,151,108
7440-7560,37.988147,7.838111,170,52
7560-7680,6.212128,3.21958,177,0
SUM,,,,4908
0-120,0.401023,48.479917,20,17
120-240,1.206437,47.303033,21,46
240-360,0.638383,48.132543,29,41
360-480,0.947923,47.533612,38,50
480-600,1.965466,46.37516,28,62
600-720,1.439552,47.04612,24,63
720-840,1.767375,46.791077,46,53
840-960,3.582519,44.644799,33,84
960-1080,0.9719,47.492259,26,59
1080-1200,1.555417,46.878134,29,53
1200-1320,1.066454,47.511543,33,60
1320-1440,1.112676,47.223064,33,52
1440-1560,1.258133,47.281664,37,63
1560-1680,1.396457,46.92465,38,62
1680-1800,2.372772,45.919019,33,65
1800-1920,1.985625,46.482139,48,68
1920-2040,3.545785,44.435124,42,77
2040-2160,3.491052,44.686829,39,78
2160-2280,1.672984,46.706805,35,68
2280-2400,2.130754,46.101864,53,57
2400-2520,2.746102,45.387597,59,88
2520-2640,4.240358,43.875297,42,94
2640-2760,1.60934,46.785494,54,71
2760-2880,3.837457,44.440457,30,92
2880-3000,1.065548,47.386546,32,59
3000-3120,1.835777,46.634096,57,71
3120-3240,7.575671,41.000311,51,97
3240-3360,2.361675,45.816947,43,84
3360-3480,5.00216,43.5066,53,76
3480-3600,5.141847,42.908855,44,88
3600-3720,18.447447,32.405008,78,55
3720-3840,14.987482,34.108738,62,106
3840-3960,5.492733,42.619583,55,103
3960-4080,7.879798,40.280857,84,91
4080-4200,9.964798,37.451421,58,109
4200-4320,35.191764,17.993663,100,39
4320-4440,49.351684,10.997998,141,35
4440-4560,27.152107,16.739878,135,93
4560-4680,18.498397,19.693346,118,106
4680-4800,15.613737,24.086398,120,111
4800-4920,13.598667,23.429394,122,109
4920-5040,13.673742,23.865142,125,108
5040-5160,14.977402,21.785014,123,104
5160-5280,17.231785,22.731475,119,111
5280-5400,16.544638,24.472306,129,110
5400-5520,16.981613,23.920831,124,113
5520-5640,15.531576,23.417521,129,109
5640-5760,15.640679,22.454038,122,107
5760-5880,14.678825,22.617529,126,104
5880-6000,20.392308,19.191897,121,99
6000-6120,14.322831,23.135061,125,108
6120-6240,21.645813,16.872352,122,83
6240-6360,15.945638,22.183311,127,107
6360-6480,14.867458,22.793556,124,110
6480-6600,15.709477,22.523335,129,104
6600-6720,23.916037,16.050831,137,77
6720-6840,20.887503,19.250842,135,104
6840-6960,21.962298,18.947685,131,99
6960-7080,28.103286,15.140359,154,76
7080-7200,37.433662,5.171609,183,24
SUM,,,,4812
0-120,1.016069,47.754177,17,20
120-240,0.746682,47.958965,23,41
240-360,1.30216,47.26301,32,50
360-480,1.246906,47.317953,23,62
480-600,0.934574,47.59257,26,47
600-720,1.383506,47.085633,34,56
720-840,0.992124,47.489255,37,65
840-960,1.826882,46.520946,41,63
960-1080,2.276769,46.040952,25,71
1080-1200,0.54786,47.996543,25,44
1200-1320,9.094517,40.182888,36,47
1320-1440,45.328875,15.428287,98,12
1440-1560,33.051228,20.613195,91,82
1560-1680,18.732825,28.588052,65,90
1680-1800,16.118416,32.648437,59,71
1800-1920,26.752296,27.863017,69,74
1920-2040,9.151584,38.256547,41,97
2040-2160,36.986565,18.639944,89,19
2160-2280,17.221354,31.761337,52,107
2280-2400,3.097049,44.691318,38,76
2400-2520,6.105866,42.478765,48,73
2520-2640,21.939472,29.590882,73,56
2640-2760,21.50352,30.577834,56,90
2760-2880,3.285676,44.644054,39,91
2880-3000,3.966076,44.658192,52,80
3000-3120,3.759235,44.132248,49,89
3120-3240,2.878448,45.413037,46,81
3240-3360,2.273223,45.925436,40,80
3360-3480,2.185152,46.244147,38,81
3480-3600,3.124523,45.378907,43,76
3600-3720,3.512293,44.798627,44,81
3720-3840,3.805728,44.559288,53,92
3840-3960,2.934092,45.079928,61,91
3960-4080,4.187694,44.122974,53,101
4080-4200,2.923059,45.236078,68,88
4200-4320,5.287223,42.311486,48,101
4320-4440,10.812218,38.645099,84,73
4440-4560,16.408586,33.024048,71,103
4560-4680,26.78382,26.311415,67,79
4680-4800,7.610969,40.497964,50,100
4800-4920,4.075625,43.988613,66,92
4920-5040,37.795521,15.799096,105,35
5040-5160,58.516459,4.984813,155,6
5160-5280,32.097149,14.637439,161,82
5280-5400,26.506578,15.962287,147,105
5400-5520,28.504716,14.838572,141,87
5520-5640,21.905614,18.114959,131,99
5640-5760,18.542051,19.60338,125,106
5760-5880,16.626557,20.683738,127,101
5880-6000,14.628133,22.505672,131,110
6000-6120,16.323782,20.747326,130,106
6120-6240,19.044345,20.375248,139,102
6240-6360,18.806844,18.932079,127,103
6360-6480,17.259657,20.561637,135,101
6480-6600,19.633362,19.60213,126,105
6600-6720,16.148073,21.505818,124,107
6720-6840,21.728932,17.738592,137,84
6840-6960,22.18645,15.223856,134,82
6960-7080,22.978385,16.56149,135,81
7080-7200,18.52929,19.287449,131,101
7200-7320,18.156672,20.347562,135,101
7320-7440,29.069754,15.346699,140,79
7440-7560,23.533521,19.033021,144,107
7560-7680,21.02778,19.146869,141,109
7680-7800,21.963334,17.110355,138,95
7800-7920,28.00897,15.491147,140,81
7920-8040,27.187245,16.38839,155,90
