scoot,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,12.279747,39.769185,32,16
120-240,15.189996,36.326716,43,48
240-360,19.056105,33.790424,39,61
360-480,16.323899,36.464932,32,59
480-600,16.826093,35.491416,35,53
600-720,14.817852,37.045983,33,61
720-840,13.535216,38.557084,28,57
840-960,11.011818,40.150633,37,46
960-1080,15.481207,37.534875,47,65
1080-1200,14.069357,37.26674,29,70
1200-1320,12.425112,39.120299,51,55
1320-1440,14.068837,36.425879,37,67
1440-1560,12.623729,38.213331,52,57
1560-1680,15.686488,35.671792,49,70
1680-1800,12.88886,38.609179,43,70
1800-1920,8.22229,41.947061,44,76
1920-2040,15.87271,35.815004,60,65
2040-2160,18.285963,34.119682,68,79
2160-2280,15.699975,35.513632,66,88
2280-2400,17.051595,35.103073,48,87
2400-2520,11.251764,39.785253,48,77
2520-2640,9.534091,41.378474,37,73
2640-2760,11.29203,40.47332,47,72
2760-2880,12.337047,39.02309,42,69
2880-3000,9.905012,40.799688,39,76
3000-3120,11.712664,39.500076,57,65
3120-3240,14.35557,36.955604,64,82
3240-3360,14.21721,37.506327,47,93
3360-3480,13.324691,37.412809,68,74
3480-3600,14.161777,37.322278,50,95
3600-3720,10.414628,40.349754,63,80
3720-3840,14.076044,37.302133,67,95
3840-3960,13.536552,37.239895,72,97
3960-4080,14.274869,36.980472,53,97
4080-4200,15.462717,36.37447,74,89
4200-4320,15.863559,35.663178,69,98
4320-4440,12.896972,37.843044,60,101
4440-4560,16.513227,35.720835,80,93
4560-4680,19.70358,32.435145,84,97
4680-4800,20.248238,32.498017,76,101
4800-4920,21.042241,31.282936,89,92
4920-5040,24.274495,29.655384,89,98
5040-5160,24.38634,29.394484,89,100
5160-5280,26.202462,28.525565,103,103
5280-5400,28.736157,26.231902,112,100
5400-5520,31.255009,25.184619,123,106
5520-5640,41.540576,20.185921,134,98
5640-5760,43.0924,18.957377,158,96
5760-5880,45.137905,16.467359,184,84
SUM,,,,3851
0-120,9.706514,41.39644,25,12
120-240,13.258477,37.824296,31,41
240-360,12.171565,38.374176,32,48
360-480,10.893811,39.874565,41,50
480-600,16.788817,35.706967,35,58
600-720,18.141203,35.372577,30,64
720-840,12.002587,39.474367,49,56
840-960,17.497038,35.659915,42,78
960-1080,15.47303,36.421085,30,64
1080-1200,13.224403,38.719741,40,46
1200-1320,9.557279,41.049635,42,62
1320-1440,16.21546,35.088066,38,56
1440-1560,11.654196,39.767883,41,64
1560-1680,10.572123,39.967751,38,66
1680-1800,10.287181,40.746166,37,61
1800-1920,10.199372,40.551184,55,65
1920-2040,15.193022,35.830486,51,75
2040-2160,10.811326,39.741308,44,82
2160-2280,10.463719,40.417039,43,65
2280-2400,9.83264,40.438937,57,61
2400-2520,13.62648,37.035546,68,83
2520-2640,23.891916,30.548232,61,84
2640-2760,12.493895,37.951694,58,86
2760-2880,16.651127,35.725624,44,82
2880-3000,8.345979,41.811463,33,72
3000-3120,11.359868,39.865524,65,64
3120-3240,17.070076,35.374054,63,93
3240-3360,10.236987,40.097343,47,92
3360-3480,12.314511,39.376413,55,78
3480-3600,12.409447,38.956873,42,92
3600-3720,9.254587,41.667222,56,75
3720-3840,13.182557,38.160782,60,86
3840-3960,15.873972,36.14241,63,93
3960-4080,13.456302,37.616318,85,98
4080-4200,20.106621,32.083179,72,96
4200-4320,17.207561,34.993457,68,98
4320-4440,15.693102,35.540092,84,99
4440-4560,18.785114,32.80361,89,103
4560-4680,23.549644,30.43636,73,98
4680-4800,24.706032,29.553515,75,84
4800-4920,26.223951,27.666226,95,80
4920-5040,28.909965,27.204101,107,99
5040-5160,31.822763,25.072448,100,108
5160-5280,35.542736,23.483521,125,90
5280-5400,39.349928,21.276409,125,103
5400-5520,37.069097,21.615203,138,103
5520-5640,39.158242,20.811144,149,108
5640-5760,42.490257,18.990973,170,101
5760-5880,52.674431,15.414833,192,99
5880-6000,50.47356,13.784742,179,91
SUM,,,,3912
0-120,10.490883,41.476231,23,14
120-240,16.15819,36.119194,33,37
240-360,14.978104,36.842159,40,52
360-480,16.982029,35.899225,30,63
480-600,13.475663,38.316122,27,53
600-720,11.984836,39.412793,40,51
720-840,14.88253,36.598041,41,67
840-960,14.754451,37.370397,43,65
960-1080,14.862369,37.649189,30,68
1080-1200,9.567501,41.070769,26,48
1200-1320,11.573505,40.909901,32,52
1320-1440,11.633615,40.270048,49,57
