scats,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,12.279747,39.769185,32,16
120-240,16.208385,35.448473,45,46
240-360,22.878206,30.799067,47,55
360-480,17.805348,35.091454,33,66
480-600,18.858218,33.645112,41,48
600-720,18.423683,33.767177,41,59
720-840,16.051358,35.917047,35,58
840-960,12.105959,38.671495,41,49
960-1080,16.251234,36.352111,50,66
1080-1200,17.12756,35.067841,31,71
1200-1320,15.429629,36.553212,53,55
1320-1440,19.984792,32.432995,39,67
1440-1560,15.44407,36.692998,48,63
1560-1680,18.678593,33.385555,49,66
1680-1800,22.351266,32.440034,43,70
1800-1920,17.656507,34.730201,48,72
1920-2040,22.630891,31.143893,63,66
2040-2160,30.86104,26.492169,81,69
2160-2280,33.450295,24.624702,89,78
2280-2400,40.292199,21.991685,79,79
2400-2520,38.788065,22.308935,83,73
2520-2640,35.771487,23.784626,68,77
2640-2760,33.894826,24.224912,80,70
2760-2880,47.047389,18.786825,83,61
2880-3000,38.867022,21.686613,84,72
3000-3120,36.819958,22.068485,97,70
3120-3240,38.623414,21.14155,108,78
3240-3360,44.597528,19.041003,103,81
3360-3480,48.719741,16.676139,129,68
3480-3600,32.595405,13.305302,139,33
SUM,,,,1902
0-120,9.706514,41.39644,25,12
120-240,13.091586,37.949066,31,41
240-360,11.925086,38.400241,34,46
360-480,11.304154,39.34399,43,50
480-600,17.055827,34.968301,41,54
600-720,19.771677,32.792504,47,53
720-840,15.157161,35.610844,65,57
840-960,22.467863,30.601857,65,71
960-1080,18.244884,32.570369,45,72
1080-1200,13.610096,37.810392,42,59
1200-1320,14.430165,36.072146,51,55
1320-1440,12.618121,37.598432,38,65
1440-1560,16.298932,35.465697,53,52
1560-1680,17.734065,33.420736,54,62
1680-1800,13.932852,37.162283,51,63
1800-1920,11.937181,38.29459,60,74
1920-2040,17.852518,32.858402,69,62
2040-2160,21.380723,30.76693,64,80
2160-2280,14.750455,35.489742,57,71
2280-2400,11.358744,38.552875,63,69
2400-2520,18.178915,33.038714,83,74
2520-2640,34.459294,23.882352,82,78
2640-2760,34.672469,23.432939,90,75
2760-2880,46.881084,18.378474,89,69
2880-3000,41.510511,19.753632,88,62
3000-3120,33.847407,22.437669,117,67
3120-3240,45.133416,17.638052,122,86
3240-3360,52.687256,15.262555,122,76
3360-3480,9.630988,9.640036,128,0
SUM,,,,1755
0-120,10.490883,41.476231,23,14
120-240,15.770966,36.468247,32,38
240-360,16.257143,35.692781,44,47
360-480,18.50429,34.786585,30,67
480-600,13.953554,37.68055,30,50
600-720,13.833503,37.763355,43,51
720-840,18.496336,33.528537,49,62
840-960,19.258076,33.437774,50,66
960-1080,21.219654,32.797296,38,67
1080-1200,14.217887,36.690107,31,51
1200-1320,12.94217,39.329113,33,56
1320-1440,13.695575,38.671588,50,57
1440-1560,13.93182,36.97452,51,74
1560-1680,21.988609,31.846715,48,67
1680-1800,18.054947,33.482466,56,57
1800-1920,20.623658,33.536194,53,87
1920-2040,23.365216,29.887439,56,66
2040-2160,16.326311,35.194321,48,77
2160-2280,26.82604,30.087554,49,67
2280-2400,22.044132,31.031712,51,60
2400-2520,19.876241,33.015803,67,67
2520-2640,24.939005,28.613616,83,65
2640-2760,25.787964,27.572577,75,81
2760-2880,33.550693,23.746497,87,62
2880-3000,32.650884,23.630989,101,79
3000-3120,40.451952,20.096642,107,80
3120-3240,50.533701,16.939596,109,76
3240-3360,54.733687,15.767032,112,71
3360-3480,23.022748,12.166209,131,12
SUM,,,,1774
0-120,10.067617,41.902658,28,18
120-240,12.052089,39.154513,42,45
240-360,14.555464,36.758863,43,55
360-480,15.482146,36.206344,39,62
480-600,16.887785,36.248337,33,63
600-720,16.015703,35.680378,47,50
720-840,24.598688,29.819073,48,61
840-960,20.381266,33.246496,35,65
960-1080,18.26089,34.625566,40,60
1080-1200,19.328863,33.391985,36,57
1200-1320,15.832076,36.595363,32,57
1320-1440,14.053325,37.598412,41,55
1440-1560,17.560675,34.563223,47,60
1560-1680,20.00877,33.679185,46,67
1680-1800,17.163165,34.761722,44,74
1800-1920,25.000286,30.869428,64,67
1920-2040,35.113316,23.549637,71,58
2040-2160,27.039065,28.639201,57,83
2160-2280,30.164965,26.579687,66,69
2280-2400,33.2185,25.710614,62,71
2400-2520,35.243389,24.15078,87,67
2520-2640,44.069393,18.876028,115,67
2640-2760,23.10998,14.250755,128,22
SUM,,,,1353
0-120,10.878185,40.199475,39,15
120-240,15.322951,36.884097,36,60
240-360,17.067802,35.59627,31,52
360-480,12.450194,38.971601,40,49
480-600,12.671057,37.309751,38,52
600-720,11.422525,39.274771,47,52
720-840,14.024656,36.904826,52,63
840-960,12.837189,37.814043,36,66
960-1080,14.53717,37.285167,47,50
1080-1200,14.05778,36.859173,51,54
1200-1320,12.480981,38.125314,44,65
1320-1440,12.212115,37.368135,61,56
1440-1560,20.856086,31.634324,80,63
1560-1680,26.611239,27.071283,75,77
1680-1800,33.634346,23.795912,60,67
1800-1920,22.102692,30.400365,73,61
1920-2040,28.863925,26.809382,73,77
2040-2160,39.774046,21.298404,77,67
2160-2280,36.125462,24.436618,79,76
2280-2400,38.09374,21.932235,90,74
2400-2520,39.813482,21.265016,95,78
2520-2640,49.259867,16.428868,125,62
2640-2760,36.568018,13.394221,138,42
SUM,,,,1378
