no1,,,,,,,,,,,,,,,
TIMEINT,L1_density,L1_delay,L1_Speed,L2_density,L2_delay,L2_Speed,L3_density,L3_delay,L3_Speed,L4_density,L4_delay,L4_Speed,L5_density,L5_delay,L5_Speed
0-120,11.140692,1.29%,51.119561,2.515175,0.19%,51.485046,23.115026,59.87%,19.257934,2.401652,2.50%,48.515045,5.779994,1.96%,47.798233
120-240,18.264255,2.28%,50.574448,4.968775,0.55%,51.913634,77.183344,83.91%,7.669695,7.695398,32.16%,34.067315,14.170561,1.97%,48.423703
240-360,43.264903,58.44%,21.764883,2.823157,0.00%,52.955132,119.328216,89.77%,4.749868,2.248303,12.76%,44.887377,14.417277,2.35%,48.397902
360-480,100.573737,85.70%,7.556099,8.883395,0.35%,52.174702,126.277422,91.41%,4.049761,10.977409,32.42%,34.084977,16.852391,2.04%,48.344079
480-600,124.288631,93.06%,3.717082,15.97533,2.49%,51.84684,163.732996,99.89%,0.062753,14.218803,2.16%,49.093684,13.759932,2.43%,49.572871
600-720,,,,,,,,,,,,,,,
720-840,,,,,,,,,,,,,,,
840-960,,,,,,,,,,,,,,,
960-1080,,,,,,,,,,,,,,,
1080-1200,,,,,,,,,,,,,,,
1200-1320,,,,,,,,,,,,,,,
1320-1440,,,,,,,,,,,,,,,
1440-1560,,,,,,,,,,,,,,,
1560-1680,,,,,,,,,,,,,,,
1680-1800,,,,,,,,,,,,,,,
1800-1920,,,,,,,,,,,,,,,
1920-2040,,,,,,,,,,,,,,,
2040-2160,,,,,,,,,,,,,,,
2160-2280,,,,,,,,,,,,,,,
2280-2400,,,,,,,,,,,,,,,
2400-2520,,,,,,,,,,,,,,,
2520-2640,,,,,,,,,,,,,,,
2640-2760,,,,,,,,,,,,,,,
2760-2880,,,,,,,,,,,,,,,
2880-3000,,,,,,,,,,,,,,,
