no1,,,,,,,,,,,,,,,
TIMEINT,L1_density,L1_delay,L1_Speed,L2_density,L2_delay,L2_Speed,L3_density,L3_delay,L3_Speed,L4_density,L4_delay,L4_Speed,L5_density,L5_delay,L5_Speed
0-120,11.522675,1.04%,49.209858,2.587096,0.00%,49.987906,24.183672,53.82%,17.929337,4.011398,2.45%,29.046293,7.291708,1.68%,45.943594
120-240,20.834429,11.79%,43.83462,5.187704,0.01%,49.755646,47.617621,71.31%,12.506204,9.486007,2.05%,25.779945,16.081323,0.36%,47.297411
240-360,43.039586,54.86%,22.337186,2.970437,0.01%,49.909092,98.32663,87.34%,5.473216,4.249987,1.89%,25.7103,15.120734,0.66%,46.921701
360-480,111.392214,87.17%,6.383283,9.258818,0.02%,49.805479,71.471329,83.48%,7.359474,18.11235,36.94%,18.920109,14.895466,0.44%,46.853988
480-600,136.496822,92.25%,3.869928,11.784298,0.22%,49.746524,78.894326,74.28%,11.771313,60.3603,54.79%,12.253626,22.163968,1.08%,47.713965
600-720,,,,,,,,,,,,,,,
720-840,,,,,,,,,,,,,,,
840-960,,,,,,,,,,,,,,,
960-1080,,,,,,,,,,,,,,,
1080-1200,,,,,,,,,,,,,,,
1200-1320,,,,,,,,,,,,,,,
1320-1440,,,,,,,,,,,,,,,
1440-1560,,,,,,,,,,,,,,,
1560-1680,,,,,,,,,,,,,,,
1680-1800,,,,,,,,,,,,,,,
1800-1920,,,,,,,,,,,,,,,
1920-2040,,,,,,,,,,,,,,,
2040-2160,,,,,,,,,,,,,,,
2160-2280,,,,,,,,,,,,,,,
2280-2400,,,,,,,,,,,,,,,
2400-2520,,,,,,,,,,,,,,,
2520-2640,,,,,,,,,,,,,,,
2640-2760,,,,,,,,,,,,,,,
2760-2880,,,,,,,,,,,,,,,
2880-3000,,,,,,,,,,,,,,,
