no1,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,9.742512,39.226903,17,10
120-240,15.644218,29.128895,33,23
240-360,18.788802,17.242424,44,25
360-480,18.661389,14.416435,61,21
480-600,34.376042,8.890297,78,17
600-720,46.158663,4.469849,103,11
720-840,42.233889,4.618432,117,15
840-960,,,0,0
960-1080,,,0,0
1080-1200,,,0,0
1200-1320,,,0,0
1320-1440,,,0,0
1440-1560,,,0,0
1560-1680,,,0,0
1680-1800,,,0,0
1800-1920,,,0,0
1920-2040,,,0,0
2040-2160,,,0,0
2160-2280,,,0,0
2280-2400,,,0,0
2400-2520,,,0,0
2520-2640,,,0,0
2640-2760,,,0,0
2760-2880,,,0,0
2880-3000,,,0,0
