Signal,,,,
TIMEINT,Num_Start,Num_End,AverageDelay,AverageSpeed
0-100,0,0,0,0
100-200,4,3,4.301313,45.696152
200-300,2,3,25.460606,15.101622
300-400,7,5,11.720208,27.923534
400-500,5,7,11.75345,30.503112
500-600,12,4,12.560498,27.208323
600-700,17,18,6.031023,36.583832
700-800,18,17,10.80092,27.391262
800-900,19,25,27.025743,15.407288
900-1000,30,23,29.153473,15.529101
1000-1100,29,21,20.728509,16.93839
1100-1200,35,23,20.749865,16.066163
1200-1300,37,34,21.79725,14.061346
1300-1400,27,35,26.884308,12.59872
1400-1500,18,33,47.037573,7.86388
1500-1600,25,24,61.486459,7.448137
1600-1700,34,23,43.979032,8.966193
1700-1800,34,24,28.308543,12.262855
1800-1900,34,34,22.641658,13.667921
1900-2000,26,34,26.307738,12.711248
2000-2100,19,33,46.610589,7.850016
2100-2200,24,23,64.723626,6.954988
2200-2300,34,23,41.527892,9.718046
2300-2400,35,25,27.577333,12.662717
2400-2500,35,35,21.991989,14.189789
2500-2600,27,35,26.162591,13.037138
2600-2700,18,32,46.546049,7.793228
2700-2800,24,24,61.570644,7.554001
2800-2900,36,24,41.534343,9.425194
2900-3000,34,23,28.751077,11.895586
3000-3100,34,34,22.541692,13.462151
3100-3200,26,35,26.997639,12.622955
3200-3300,18,32,48.04481,7.592756
3300-3400,24,23,64.820432,7.082971
3400-3500,35,24,42.85372,9.254599
3500-3600,34,24,28.412528,12.353692
3600-3700,33,33,22.96695,13.421205
3700-3800,27,35,25.63658,13.072395
3800-3900,19,34,45.296968,8.22837
3900-4000,24,23,63.392727,7.48975
4000-4100,36,24,42.49958,9.481783
4100-4200,35,24,28.637241,12.137807
