our,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,4.061644,44.265009,52,33
120-240,15.984549,33.812017,94,76
240-360,28.822592,21.980577,130,88
360-480,27.844145,17.005105,168,89
480-600,33.177342,12.904431,196,75
600-720,34.342321,9.894235,197,79
720-840,29.384296,12.040965,224,86
840-960,33.16479,8.24121,244,75
960-1080,21.84633,8.76077,260,44
SUM,,,,645
0-120,3.329741,44.769306,42,29
120-240,9.181184,39.296217,82,75
240-360,25.702515,24.146629,123,81
360-480,38.491144,11.948752,156,62
480-600,26.391092,14.246806,194,84
600-720,30.767702,10.277575,213,80
720-840,36.809661,6.298941,246,43
840-960,22.74694,8.554758,264,35
SUM,,,,489
0-120,2.750618,45.807435,40,31
120-240,17.649316,30.940337,102,54
240-360,35.85977,17.546011,138,74
360-480,28.799874,15.208593,179,80
480-600,35.399505,10.992931,223,72
600-720,30.921149,9.354873,245,81
720-840,32.989969,8.091258,268,67
SUM,,,,459
0-120,8.070656,41.099878,63,33
120-240,20.881414,29.854948,93,79
240-360,21.878383,24.214759,113,88
360-480,30.861803,15.178001,159,70
480-600,37.884243,11.929151,204,66
600-720,31.836304,10.326244,245,74
720-840,34.846392,6.706173,260,64
840-960,29.502108,7.137971,277,46
SUM,,,,520
0-120,8.391276,40.235237,76,32
120-240,28.278475,23.1306,99,73
240-360,26.940992,20.65035,143,74
360-480,29.722081,13.823445,175,82
480-600,33.103753,10.354035,207,70
600-720,32.600545,7.937545,238,54
720-840,32.305786,7.827847,241,73
840-960,28.9864,10.0037,245,91
960-1080,32.442699,8.725607,262,68
SUM,,,,617
