scats,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,12.178129,39.310309,58,27
120-240,28.395902,28.006969,105,71
240-360,42.667234,19.409838,149,80
360-480,49.689472,15.81779,192,90
480-600,59.513733,12.390098,222,87
600-720,10.327858,13.518897,227,14
SUM,,,,369
0-120,9.108246,41.24428,47,24
120-240,22.787528,31.081636,97,65
240-360,35.899843,23.216694,135,84
360-480,41.784148,18.582212,161,98
480-600,52.261576,14.434103,214,87
600-720,10.408992,13.144102,215,14
SUM,,,,372
0-120,11.128412,40.218364,43,28
120-240,18.232481,34.06061,95,69
240-360,37.68118,22.607951,131,79
360-480,46.659517,17.068846,168,87
480-600,54.960899,13.607864,221,89
600-720,64.301424,10.712677,253,89
720-840,13.003355,10.207419,246,17
SUM,,,,458
0-120,10.626068,41.071151,58,38
120-240,25.325037,29.915274,93,74
240-360,33.241368,24.16699,113,88
360-480,43.884243,18.775752,154,84
480-600,54.207819,14.319412,198,87
600-720,10.336378,13.874217,198,17
SUM,,,,388
0-120,9.894071,40.863084,77,31
120-240,29.46326,26.848809,110,78
240-360,42.772661,19.834933,134,82
360-480,47.475374,17.036222,169,88
480-600,55.431348,14.039907,196,96
600-720,62.648005,11.487639,237,89
720-840,13.142809,10.023185,231,15
SUM,,,,479
