scoot,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,12.178129,39.310309,58,27
120-240,28.331472,28.046269,106,70
240-360,39.551988,20.843944,142,88
360-480,48.624655,16.20797,188,87
480-600,58.975591,12.413042,220,85
600-720,66.716114,10.226421,265,85
720-840,12.441872,9.35775,263,17
SUM,,,,459
0-120,9.108246,41.24428,47,24
120-240,22.612904,31.258263,97,65
240-360,35.895592,23.001579,135,84
360-480,46.045971,16.810839,172,87
480-600,55.468362,13.272025,229,83
600-720,10.774969,11.959285,228,16
SUM,,,,359
0-120,11.128412,40.218364,43,28
120-240,17.861688,34.304121,94,70
240-360,38.380577,22.42729,130,79
360-480,48.298457,16.603354,169,85
480-600,55.185293,13.400375,225,86
600-720,64.409465,10.70329,259,89
720-840,12.471422,9.627295,251,17
SUM,,,,454
0-120,10.626068,41.071151,58,38
120-240,24.641039,30.315935,91,76
240-360,32.69208,24.430149,113,86
360-480,45.258336,18.142159,158,80
480-600,56.710921,13.588869,205,84
600-720,63.954252,10.872904,241,85
720-840,11.842937,10.909034,237,18
SUM,,,,467
0-120,9.894071,40.863084,77,31
120-240,30.336933,26.297184,113,75
240-360,41.939713,20.105399,133,86
360-480,46.725452,17.360297,168,88
480-600,56.958276,13.330476,205,86
600-720,63.249571,11.364658,242,93
720-840,12.111475,10.136069,244,14
SUM,,,,473
