our,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,1.706416,46.88278,31,25
120-240,1.51388,46.739571,47,57
240-360,2.821719,45.266761,42,74
360-480,2.821148,45.26284,42,75
480-600,2.189269,45.918125,32,73
600-720,5.989745,42.295841,49,65
720-840,5.216885,43.100811,28,89
840-960,2.268945,45.866941,41,61
960-1080,2.554467,45.358408,43,77
1080-1200,3.3002,44.924351,43,76
1200-1320,2.987278,45.104732,49,76
1320-1440,2.751744,45.297224,33,77
1440-1560,1.44499,46.901052,56,69
1560-1680,3.308083,44.280622,40,74
1680-1800,2.882272,45.118236,42,71
1800-1920,4.958787,43.23322,49,82
1920-2040,3.573381,44.59199,44,87
2040-2160,3.275535,44.903556,36,81
2160-2280,4.225312,44.037097,65,80
2280-2400,6.39889,41.090146,55,94
2400-2520,3.636879,44.453282,64,93
2520-2640,6.872099,41.115258,55,94
2640-2760,6.438325,41.967237,50,96
2760-2880,4.447829,43.458975,58,88
2880-3000,6.394469,41.557393,63,97
3000-3120,10.84076,37.573807,63,94
3120-3240,7.380534,40.64362,64,95
3240-3360,11.960318,37.088597,73,94
3360-3480,10.692693,37.664078,50,105
3480-3600,13.184633,34.641013,72,66
3600-3720,15.275272,34.08053,83,98
3720-3840,16.405976,33.048638,94,107
3840-3960,21.7364,29.404201,97,106
3960-4080,18.630284,31.214953,94,110
4080-4200,19.810745,30.275508,89,108
4200-4320,19.28556,30.523807,85,108
4320-4440,13.767419,34.328666,85,110
4440-4560,14.765569,34.480454,87,109
4560-4680,14.902131,33.568778,92,111
4680-4800,27.337757,23.229575,118,84
4800-4920,21.852611,24.288208,142,114
4920-5040,20.983216,19.47385,161,111
5040-5160,22.115862,17.057268,175,105
5160-5280,20.581093,17.186249,182,115
5280-5400,20.012133,16.808114,178,116
5400-5520,20.516599,16.460675,187,115
5520-5640,21.822347,14.905492,196,110
5640-5760,22.411902,14.898686,197,108
5760-5880,24.902344,13.80966,190,107
5880-6000,21.486229,15.701167,207,114
6000-6120,24.005063,12.753793,217,102
6120-6240,22.39879,12.853061,221,99
SUM,,,,4752
0-120,1.921131,46.803821,21,22
120-240,25.236004,27.26471,67,19
240-360,8.087044,39.377726,50,89
360-480,3.148798,44.765808,44,81
480-600,3.778509,44.228312,35,75
600-720,1.533638,46.776574,36,65
720-840,4.546224,43.80766,42,76
840-960,2.575578,45.348702,51,74
960-1080,4.437108,43.523137,52,88
1080-1200,2.833417,45.284986,42,84
1200-1320,2.143052,45.720669,40,67
1320-1440,2.063262,45.976629,35,62
1440-1560,2.450408,45.819567,43,70
1560-1680,1.189703,47.049065,44,69
1680-1800,2.966348,45.028492,48,72
1800-1920,5.836896,42.430109,53,86
1920-2040,3.841177,44.082714,47,91
2040-2160,3.57688,44.364585,49,78
2160-2280,6.345228,42.008736,68,84
2280-2400,5.535162,41.772705,51,96
2400-2520,4.437205,43.541372,63,78
2520-2640,5.333817,42.553025,56,95
2640-2760,12.077696,37.05558,45,83
2760-2880,7.660593,40.102098,65,72
2880-3000,8.709736,39.428839,67,97
3000-3120,8.614445,39.7385,63,106
3120-3240,8.984374,39.422093,61,92
3240-3360,9.769529,38.724197,67,101
3360-3480,6.597042,41.361215,54,104
3480-3600,9.27677,39.303837,69,90
3600-3720,10.467577,37.733706,77,105
3720-3840,12.396711,36.773735,82,110
3840-3960,15.739773,33.47919,74,108
3960-4080,10.856495,37.520127,71,106
4080-4200,10.369435,38.056488,66,103
4200-4320,8.789517,39.641263,63,102
4320-4440,8.419452,39.619772,68,101
4440-4560,16.352546,31.355425,94,80
4560-4680,22.604139,22.071171,125,79
4680-4800,17.95481,23.516797,136,112
4800-4920,22.556305,18.021146,166,101
4920-5040,23.58691,15.094835,194,97
5040-5160,28.964539,10.444317,204,80
5160-5280,25.170192,12.485384,207,97
5280-5400,24.486616,13.561651,216,84
SUM,,,,3831
0-120,1.72745,46.868022,18,26
120-240,1.043324,47.478662,42,40
240-360,2.032651,45.8307,50,70
360-480,5.26831,42.974284,41,79
480-600,7.250814,40.889205,41,69
600-720,53.997909,14.596162,97,14
720-840,18.451259,31.622667,78,108
840-960,11.915281,36.365572,46,104
960-1080,2.006987,46.104583,41,82
1080-1200,9.203761,39.628951,57,64
1200-1320,23.022318,28.696911,65,62
1320-1440,6.744156,40.475995,38,91
1440-1560,3.495091,44.621497,43,65
1560-1680,3.403018,44.459856,53,65
1680-1800,43.686426,14.773794,108,20
1800-1920,43.536906,13.337417,141,54
1920-2040,24.491536,19.350102,130,104
2040-2160,23.294016,22.477934,116,111
2160-2280,21.865411,25.797249,105,112
2280-2400,18.924134,30.156168,65,114
2400-2520,8.960006,38.702745,67,96
2520-2640,64.060183,5.94503,138,2
2640-2760,33.157183,15.231826,171,72
2760-2880,27.485217,14.085337,150,94
2880-3000,24.713089,17.782647,165,100
3000-3120,22.746158,17.573551,157,112
3120-3240,22.507442,19.320143,155,116
3240-3360,21.742667,18.833413,144,113
3360-3480,22.198164,20.928028,132,116
3480-3600,23.267358,22.81507,119,117
3600-3720,24.795486,22.874042,119,107
3720-3840,24.03121,25.29173,111,113
3840-3960,23.617836,27.499809,90,114
3960-4080,18.094301,31.845587,78,109
4080-4200,10.989314,36.84443,79,107
4200-4320,13.104079,36.109468,72,109
4320-4440,12.540297,36.480783,80,108
4440-4560,12.615072,35.510415,88,105
4560-4680,15.941341,33.902005,78,109
4680-4800,16.772965,33.092888,93,109
4800-4920,16.916404,32.037983,84,115
4920-5040,15.882808,33.396269,97,107
5040-5160,30.225835,23.398826,94,91
5160-5280,20.213448,27.392304,111,110
5280-5400,21.607467,25.454515,117,113
5400-5520,24.863739,24.724286,111,112
5520-5640,20.506274,28.516025,100,118
5640-5760,18.690921,28.069368,118,113
5760-5880,21.11349,24.686617,119,114
5880-6000,22.459791,22.548779,136,109
6000-6120,23.052971,19.93195,148,107
6120-6240,23.991027,16.632197,167,101
6240-6360,25.304727,13.318341,189,89
6360-6480,21.039854,14.960604,206,109
6480-6600,23.603124,12.022722,219,93
6600-6720,3.235623,9.972519,223,6
SUM,,,,5089
0-120,3.179539,45.575344,31,31
120-240,1.580833,46.60937,39,62
240-360,1.490452,46.716961,39,70
360-480,2.020448,46.313738,31,69
480-600,2.268525,45.895081,32,63
600-720,4.709756,43.674767,46,67
720-840,2.654789,45.387404,57,71
840-960,4.333794,43.394221,37,84
960-1080,3.65207,44.489468,37,71
1080-1200,2.15525,46.071735,41,70
1200-1320,2.937496,45.24374,42,72
1320-1440,2.287956,45.750432,43,76
1440-1560,2.755839,45.218055,42,71
1560-1680,2.821753,45.179383,44,70
1680-1800,4.954181,43.240684,52,82
1800-1920,7.773941,40.561315,55,87
1920-2040,6.77626,41.446894,57,93
2040-2160,21.110063,28.841922,74,64
2160-2280,8.611441,39.528304,62,108
2280-2400,42.738579,12.914815,119,29
2400-2520,44.387372,8.203723,178,27
2520-2640,27.413577,13.457912,181,89
2640-2760,22.219056,15.793198,180,107
2760-2880,21.67801,15.758771,168,112
2880-3000,20.677003,17.853695,162,114
3000-3120,22.332729,16.721145,173,104
3120-3240,21.614838,15.815713,191,110
3240-3360,23.600749,15.245552,196,107
3360-3480,23.300613,14.675455,176,115
3480-3600,23.034675,16.146461,155,107
3600-3720,20.926499,19.198049,159,117
