20,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,1.637804,47.853124,29,27
120-240,1.156344,48.225624,47,55
240-360,2.022453,47.176708,38,78
360-480,2.489914,46.692733,42,71
480-600,1.904412,47.523349,30,75
600-720,2.983639,46.36959,43,69
720-840,2.312399,47.094067,26,85
840-960,1.453864,48.040643,38,62
960-1080,2.913092,46.428785,41,76
1080-1200,2.09272,47.297945,38,79
1200-1320,2.546476,46.669768,50,70
1320-1440,2.692117,46.437817,32,79
1440-1560,1.778499,47.528399,54,70
1560-1680,4.303912,44.488662,40,72
1680-1800,2.021761,47.237232,42,71
1800-1920,4.355098,44.850607,49,82
1920-2040,3.897002,45.321914,42,89
2040-2160,3.021968,46.298471,37,78
2160-2280,4.106504,45.158684,62,84
2280-2400,8.152878,40.563171,53,93
2400-2520,3.079471,46.093229,62,93
2520-2640,4.038158,44.923666,50,97
2640-2760,5.652938,43.728988,50,91
2760-2880,4.247556,44.564493,57,89
2880-3000,4.96466,43.817017,65,94
3000-3120,7.248503,41.74659,54,105
3120-3240,3.121692,45.835884,64,86
3240-3360,21.786535,29.501979,90,77
3360-3480,13.894929,35.775949,56,116
3480-3600,2.681489,46.364479,46,98
3600-3720,4.235809,44.789454,66,89
3720-3840,7.034552,42.085223,73,111
3840-3960,8.681895,40.096936,70,112
3960-4080,8.567761,40.357709,72,105
4080-4200,7.875869,41.249084,68,107
4200-4320,10.500699,39.182497,63,109
4320-4440,4.417308,44.281888,71,102
4440-4560,8.965416,40.28523,75,107
4560-4680,9.391735,39.359111,86,106
4680-4800,14.789667,34.746895,89,109
4800-4920,44.650306,16.013011,137,58
4920-5040,37.425899,19.299446,139,112
5040-5160,27.891813,25.094819,134,124
5160-5280,34.229546,21.033875,152,115
5280-5400,44.426185,15.422692,147,97
5400-5520,41.7019,18.291756,148,103
5520-5640,38.819992,17.921386,167,107
5640-5760,33.996241,18.896507,173,120
5760-5880,35.922521,19.523568,176,123
5880-6000,38.815114,17.421999,169,115
6000-6120,37.541317,19.064373,162,123
6120-6240,34.114405,20.232024,148,126
6240-6360,35.811521,20.371834,140,127
6360-6480,36.314305,20.229193,165,121
6480-6600,35.996635,19.390064,190,119
6600-6720,47.105262,15.012983,186,116
6720-6840,41.112216,17.979031,169,127
6840-6960,40.663017,18.58717,156,131
6960-7080,38.965828,20.460476,155,125
7080-7200,35.589539,19.71456,167,112
7200-7320,38.581066,18.624221,186,123
7320-7440,45.133026,14.79621,195,107
7440-7560,54.809322,13.057549,210,92
7560-7680,43.482135,15.425362,163,133
7680-7800,31.916321,21.72224,161,125
7800-7920,44.044995,15.887949,172,103
7920-8040,39.147933,18.688854,164,124
8040-8160,36.602686,20.037654,184,117
8160-8280,36.49827,17.851725,172,132
8280-8400,35.24495,19.90206,169,124
8400-8520,39.399985,18.593683,171,119
