scats,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,1.770623,46.900001,31,25
120-240,1.462993,46.982115,47,57
240-360,2.681539,45.699109,41,75
360-480,3.21638,45.14209,42,74
480-600,2.564799,45.824834,33,72
600-720,5.859774,42.438722,49,66
720-840,5.630239,43.109215,28,89
840-960,2.189927,46.300113,40,62
960-1080,3.947768,44.21393,47,72
1080-1200,2.812882,45.562459,42,81
1200-1320,2.918447,45.453713,49,75
1320-1440,2.656491,45.733936,33,77
1440-1560,1.780849,46.767943,55,70
1560-1680,3.601151,44.352711,40,73
1680-1800,1.950756,46.496688,43,70
1800-1920,4.562578,43.809827,47,85
1920-2040,3.594303,44.874614,45,84
2040-2160,4.245878,44.260909,37,81
2160-2280,4.814382,43.795705,63,83
2280-2400,17.22126,32.359949,66,81
2400-2520,5.873045,42.454833,65,103
2520-2640,7.990427,40.353624,51,99
2640-2760,18.531581,31.666803,74,68
2760-2880,10.774279,37.815244,62,108
2880-3000,7.617395,40.580512,65,99
3000-3120,22.979857,26.896552,87,71
3120-3240,14.760924,34.201274,82,102
3240-3360,15.124475,34.450018,76,109
3360-3480,10.032318,38.404252,48,110
3480-3600,3.369573,44.979523,50,86
3600-3720,4.718273,43.509549,67,92
3720-3840,11.790061,37.444567,83,102
3840-3960,14.373845,34.685612,81,111
3960-4080,11.838348,36.615553,80,108
4080-4200,15.010201,34.974719,76,107
4200-4320,13.773159,35.787783,72,108
4320-4440,8.020077,39.711343,79,103
4440-4560,11.834001,36.969218,81,109
4560-4680,18.744306,29.512705,105,91
4680-4800,31.970453,18.277554,145,69
4800-4920,25.212991,19.395623,171,112
4920-5040,25.833622,17.048686,190,113
5040-5160,27.30745,15.350691,189,113
5160-5280,29.295725,15.437355,190,114
5280-5400,26.809752,15.305297,199,113
5400-5520,40.372623,9.003676,231,64
5520-5640,30.161834,11.930238,215,108
5640-5760,34.247447,9.97932,233,77
5760-5880,32.138191,12.164856,221,114
5880-6000,32.829859,12.59327,215,107
6000-6120,28.672008,13.553465,219,113
6120-6240,28.280886,13.187339,221,111
6240-6360,29.367015,12.988433,218,109
6360-6480,32.845656,12.835753,221,109
6480-6600,30.402991,12.69885,216,108
6600-6720,34.262848,10.495015,226,86
6720-6840,30.484426,12.731493,226,113
6840-6960,29.112282,13.33331,214,112
6960-7080,25.710265,13.659035,215,113
7080-7200,29.051657,12.955026,218,108
7200-7320,30.127997,13.228571,223,112
7320-7440,28.737172,13.380208,217,114
7440-7560,28.188242,13.102549,219,110
7560-7680,25.88337,13.564124,219,112
7680-7800,31.704156,12.723491,229,108
7800-7920,30.863294,12.77775,220,114
7920-8040,31.753137,11.62647,217,100
8040-8160,28.739206,13.004512,222,108
8160-8280,30.885508,12.259107,224,105
8280-8400,35.598306,11.13939,214,99
8400-8520,35.581594,10.727124,229,82
8520-8640,40.881944,8.35021,230,78
8640-8760,38.26115,8.164696,230,77
8760-8880,28.249157,13.643445,217,114
8880-9000,27.157297,13.903,219,116
9000-9120,26.453913,12.949546,217,110
9120-9240,28.218903,13.66565,215,114
9240-9360,30.613191,12.46169,226,104
9360-9480,32.103852,11.986942,221,104
9480-9600,34.652349,10.10479,233,81
9600-9720,31.311906,11.94127,217,108
9720-9840,27.725852,13.597461,220,111
9840-9960,28.043875,13.477592,214,114
9960-10080,26.538309,13.200119,217,111
10080-10200,26.705485,13.700143,217,112
10200-10320,25.770936,13.881576,218,116
10320-10440,27.925767,13.296509,225,109
10440-10560,34.918599,11.716111,221,105
10560-10680,39.142834,10.585663,232,95
10680-10800,38.333086,9.897268,225,90
10800-10920,40.879678,8.856248,233,71
10920-11040,31.048953,12.336305,219,112
11040-11160,30.252644,13.188711,222,112
11160-11280,27.763316,14.223964,213,119
11280-11400,29.077709,13.852095,219,114
11400-11520,27.695104,13.674186,220,116
11520-11640,30.380253,13.433034,220,112
11640-11760,28.741777,13.407851,217,116
11760-11880,25.863371,13.548391,217,113
11880-12000,26.294735,13.80957,215,115
12000-12120,42.126941,8.837935,241,77
12120-12240,33.566886,11.720594,229,108
12240-12360,36.415931,9.79384,230,83
12360-12480,32.373582,11.870899,225,105
12480-12600,28.807351,12.891741,220,114
12600-12720,28.420726,11.797616,225,99
12720-12840,25.02267,13.139972,223,114
12840-12960,46.277002,5.768306,265,39
12960-13080,40.360612,8.639508,252,95
13080-13200,32.936335,11.842199,221,109
13200-13320,34.117437,9.841269,235,84
13320-13440,27.942851,12.734351,224,115
13440-13560,30.050366,12.273551,223,104
13560-13680,28.129574,13.072015,216,113
13680-13800,28.331902,13.711358,219,115
13800-13920,26.098267,13.663355,219,114
13920-14040,27.353183,13.297124,219,112
14040-14160,26.507669,13.808046,218,117
14160-14280,31.400976,11.15748,216,95
14280-14400,35.985907,10.221249,230,86
14400-14520,31.858568,12.332903,222,109
14520-14640,27.722131,13.028882,215,113
14640-14760,28.849184,13.464946,220,111
14760-14880,39.337718,8.938608,249,72
14880-15000,16.173659,6.47225,264,13
SUM,,,,12173
0-120,1.831494,47.157958,21,22
120-240,32.746577,22.680096,77,9
240-360,45.638761,15.449934,105,44
360-480,25.160492,26.811141,75,105
480-600,10.011347,38.030881,37,104
600-720,1.981572,46.507701,34,69
720-840,3.732265,44.993077,38,78
840-960,3.854049,44.332391,52,69
960-1080,4.608612,43.592933,50,91
1080-1200,4.65895,43.608258,46,78
