no,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,2.059258,48.460526,30,26
120-240,1.589141,48.30721,46,57
240-360,2.913621,47.224677,38,77
360-480,2.234416,48.097071,39,74
480-600,2.574163,47.68377,31,71
600-720,4.92623,44.779899,46,67
720-840,4.163509,46.006754,27,87
840-960,1.698456,48.548271,38,63
960-1080,3.80371,45.764394,42,75
1080-1200,4.481535,46.003425,42,76
1200-1320,3.833783,46.137665,48,76
1320-1440,42.719687,19.20611,86,23
1440-1560,68.266483,10.761701,161,17
1560-1680,61.506733,12.910598,135,84
1680-1800,34.249519,22.964881,90,118
1800-1920,24.026737,28.337273,80,99
1920-2040,13.212192,37.078546,52,110
2040-2160,18.819977,32.416803,67,58
2160-2280,33.397394,24.145316,108,68
2280-2400,23.722299,28.551282,77,115
2400-2520,13.497295,36.707658,73,106
2520-2640,11.2898,38.44526,54,104
2640-2760,7.644476,42.394245,49,96
2760-2880,4.298235,45.256499,55,90
2880-3000,7.493937,42.059942,64,93
3000-3120,13.216571,36.820957,63,95
3120-3240,8.00162,41.247169,68,91
3240-3360,41.047996,20.433462,122,49
3360-3480,45.491896,19.093287,108,96
3480-3600,23.875532,29.280263,78,118
3600-3720,13.332922,36.510243,74,113
3720-3840,14.695032,36.093183,84,108
3840-3960,40.722721,19.511031,134,59
3960-4080,36.103627,12.348333,154,28
SUM,,,,2687
0-120,1.36521,48.840879,20,23
120-240,2.068659,48.08261,42,43
240-360,3.020324,46.612195,46,68
360-480,4.816927,45.006025,43,78
480-600,2.869528,46.941966,35,74
600-720,3.483751,46.441895,36,65
720-840,6.356341,43.732925,43,75
840-960,3.154655,46.440907,50,76
960-1080,17.579845,33.24687,76,63
1080-1200,26.634308,28.483432,64,86
1200-1320,7.732797,41.089338,38,91
1320-1440,2.320853,47.46039,35,60
1440-1560,13.521186,37.415409,60,53
1560-1680,44.349684,17.928019,102,28
1680-1800,46.980733,18.097841,111,67
1800-1920,28.739769,26.366734,86,116
1920-2040,35.859638,22.744762,88,83
2040-2160,20.414679,31.338933,64,104
2160-2280,11.641139,38.418489,67,100
2280-2400,22.517594,28.747022,78,68
2400-2520,43.104277,19.233128,121,47
2520-2640,56.357933,13.782156,152,57
2640-2760,52.153338,16.55443,119,105
2760-2880,28.118534,25.733517,93,118
2880-3000,20.987108,30.931476,82,110
3000-3120,15.435538,35.108287,72,112
3120-3240,10.551066,39.427836,58,104
3240-3360,16.538101,34.452998,78,87
3360-3480,14.170531,36.171642,62,107
3480-3600,9.89945,39.921105,66,101
3600-3720,13.740042,36.018845,85,94
3720-3840,26.551029,28.078357,114,86
3840-3960,30.028725,25.028723,102,112
3960-4080,21.977397,30.009097,92,113
4080-4200,18.467248,32.591788,76,114
4200-4320,12.997668,37.529414,67,108
4320-4440,10.908274,38.68132,71,102
4440-4560,9.407753,40.598753,74,107
4560-4680,13.008586,36.517076,85,95
4680-4800,23.225592,29.340379,111,98
4800-4920,28.12338,26.962008,122,120
4920-5040,31.153397,25.057816,130,116
5040-5160,33.256196,23.919961,104,125
5160-5280,24.423137,28.684874,113,117
5280-5400,27.774332,26.535915,118,115
5400-5520,29.26531,26.070351,109,116
5520-5640,25.914055,28.020253,94,117
5640-5760,21.878893,29.975818,101,110
5760-5880,19.641983,31.842602,91,112
5880-6000,22.633254,30.052347,107,113
6000-6120,25.679481,28.023818,107,118
6120-6240,26.540874,27.613601,123,114
6240-6360,31.101338,24.723792,136,122
6360-6480,35.90106,22.62787,164,119
6480-6600,41.524195,19.440176,179,122
6600-6720,44.733761,17.845042,211,124
6720-6840,43.556432,14.999678,229,92
SUM,,,,5370
0-120,1.36497,48.92896,18,26
120-240,1.514362,49.249097,39,43
240-360,2.640595,47.023701,49,68
360-480,4.382002,45.7221,36,83
480-600,2.578878,47.798391,31,74
600-720,3.585059,46.787352,36,65
720-840,2.83549,46.831276,57,68
840-960,6.941204,42.414196,36,93
960-1080,2.444021,47.376445,41,72
1080-1200,6.837872,43.6374,45,76
1200-1320,2.681941,47.069464,38,77
1320-1440,2.457114,47.166372,38,64
1440-1560,3.090592,47.19809,37,71
1560-1680,3.183327,46.801587,50,62
1680-1800,3.365116,46.424847,48,79
1800-1920,9.05233,41.081441,54,81
1920-2040,36.263191,22.215397,97,49
2040-2160,42.025302,19.684016,118,75
2160-2280,54.579609,15.154286,163,56
2280-2400,65.159949,11.085083,164,73
2400-2520,39.517995,20.453326,134,128
2520-2640,31.306552,24.628595,101,123
2640-2760,23.74247,29.522579,78,111
2760-2880,13.158263,36.281262,55,104
2880-3000,10.64789,39.468556,71,91
3000-3120,39.13474,20.650533,125,51
3120-3240,37.643453,22.564222,127,111
3240-3360,30.851189,24.873631,107,122
3360-3480,25.304267,28.030934,95,116
3480-3600,27.010942,27.532139,95,104
3600-3720,21.445214,30.728925,86,116
3720-3840,16.246857,34.728728,78,113
3840-3960,14.435453,35.892192,62,109
3960-4080,8.24272,41.463831,59,100
4080-4200,8.099205,41.239777,75,92
4200-4320,16.462067,35.251539,76,101
4320-4440,15.715461,35.247107,80,112
4440-4560,14.785191,35.190385,87,106
4560-4680,16.361122,34.833566,74,112
4680-4800,15.930354,35.012837,88,110
4800-4920,18.453688,32.867375,83,111
4920-5040,14.318758,35.799162,90,113
5040-5160,18.908822,32.817742,68,110
5160-5280,14.568979,36.319098,88,107
5280-5400,19.135507,33.031878,89,118
5400-5520,19.853207,31.460335,86,109
5520-5640,33.40712,23.688378,114,79
5640-5760,26.963534,26.705868,128,117
5760-5880,32.830742,24.211561,131,115
5880-6000,37.02813,21.773826,140,115
6000-6120,40.191325,20.557937,144,114
