20,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,1.641103,48.100858,29,27
120-240,1.202173,48.425435,47,55
240-360,1.915069,47.421027,39,77
360-480,2.580438,46.841461,43,71
480-600,1.9994,47.676857,30,76
600-720,3.025182,46.528504,42,70
720-840,3.126606,46.471611,25,85
840-960,1.680742,48.73893,36,63
960-1080,1.818563,47.756766,40,75
1080-1200,2.833989,46.651141,40,76
1200-1320,1.777069,47.669084,47,75
1320-1440,2.296717,47.105729,30,78
1440-1560,1.465327,48.140588,54,68
1560-1680,3.321357,45.70138,40,72
1680-1800,1.856047,47.646616,42,71
1800-1920,4.586204,44.797031,47,84
1920-2040,3.616578,45.917745,43,86
2040-2160,2.790099,46.784568,36,80
2160-2280,3.675238,45.779332,61,84
2280-2400,7.013414,41.793576,50,95
2400-2520,2.345024,47.142689,61,91
2520-2640,3.380419,45.821047,50,96
2640-2760,7.135927,42.278973,54,87
2760-2880,25.985065,27.575564,82,68
2880-3000,15.105531,34.959961,76,108
3000-3120,8.498888,40.466182,55,115
3120-3240,1.870838,47.4866,62,89
3240-3360,9.25888,39.804904,73,92
3360-3480,35.211098,22.954898,91,64
3480-3600,12.080257,36.722661,58,121
3600-3720,28.550958,23.689549,124,43
3720-3840,59.798962,11.361048,138,74
3840-3960,29.615738,24.853949,141,129
3960-4080,26.822016,25.462086,122,133
4080-4200,22.758244,29.53551,95,130
4200-4320,18.969237,32.122073,81,118
4320-4440,36.551297,20.367565,130,61
4440-4560,68.940446,10.073099,202,39
4560-4680,42.311703,17.520985,167,143
4680-4800,38.627536,19.410278,156,126
4800-4920,43.750443,16.304915,213,84
4920-5040,30.620114,9.682044,235,31
SUM,,,,3510
0-120,1.067513,48.827257,20,23
120-240,2.216003,47.595072,41,44
240-360,1.627112,47.717532,45,68
360-480,1.678418,47.863029,43,77
480-600,1.860297,47.916924,34,75
600-720,1.145113,48.590423,32,68
720-840,3.004362,46.583441,36,78
840-960,2.660467,46.792964,49,70
960-1080,2.660714,46.640949,47,91
1080-1200,2.830653,46.636585,42,79
1200-1320,1.699412,47.731335,37,70
1320-1440,1.849253,47.537721,34,60
1440-1560,2.755568,46.871067,37,75
1560-1680,1.368704,49.101277,42,65
1680-1800,2.101366,47.373529,46,72
1800-1920,4.705916,44.55408,53,84
1920-2040,4.188912,45.141658,43,95
2040-2160,2.703134,46.693187,46,77
2160-2280,5.088638,44.473576,60,89
2280-2400,5.437183,43.262985,49,90
2400-2520,1.900968,47.590154,55,84
2520-2640,3.263317,45.992851,53,90
2640-2760,3.368099,46.039208,35,90
2760-2880,1.456282,48.070517,54,73
2880-3000,3.355864,45.840818,59,94
3000-3120,7.090343,42.276525,57,104
3120-3240,5.294874,44.021603,54,93
3240-3360,5.696522,43.46465,62,99
3360-3480,4.042054,45.113045,50,103
3480-3600,4.523913,44.911995,58,97
3600-3720,5.312946,43.682691,68,103
3720-3840,7.631086,41.864099,71,112
3840-3960,6.346503,42.43404,58,113
3960-4080,3.738336,45.4512,63,98
4080-4200,7.827033,41.372248,57,104
4200-4320,53.337103,13.945295,145,11
4320-4440,67.125845,9.260593,189,62
4440-4560,36.452883,20.252502,164,135
4560-4680,32.193564,21.618715,130,135
4680-4800,27.294501,26.554972,132,127
4800-4920,31.922187,22.699792,131,132
4920-5040,21.805002,29.56583,119,136
5040-5160,20.723662,30.425171,83,135
5160-5280,9.608207,39.492929,82,127
5280-5400,10.016348,39.072576,81,121
5400-5520,11.335253,38.285873,70,118
5520-5640,6.072319,42.994866,58,114
5640-5760,4.896716,44.070983,75,100
5760-5880,6.508521,42.376734,73,104
5880-6000,9.670119,39.544545,82,120
6000-6120,15.104588,35.31239,83,117
6120-6240,12.641437,36.968422,93,120
6240-6360,17.650793,32.714902,105,123
6360-6480,20.796204,30.045559,120,132
6480-6600,25.451478,27.127796,123,132
