no,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-240,1.396334,50.162701,6,20
240-480,0.958195,49.837505,7,39
480-720,2.417213,48.830896,18,47
720-960,6.07039,45.462969,30,107
960-1200,71.754117,17.563589,119,60
1200-1440,135.894035,7.182791,264,41
1440-1680,128.340524,6.858532,306,142
1680-1920,76.143841,4.287726,377,25
SUM,,,,481
0-240,0.937421,49.506712,7,20
240-480,5.461617,46.484784,8,42
480-720,2.339561,49.065358,20,49
720-960,4.322055,46.996214,26,109
960-1200,68.841368,17.166401,138,30
1200-1440,96.458104,11.505012,188,123
1440-1680,150.866408,5.495012,312,52
1680-1920,126.443054,5.804999,407,102
SUM,,,,527
0-240,1.262783,48.332602,6,16
240-480,1.302486,49.992016,9,46
480-720,1.857548,49.085835,18,56
720-960,28.236212,31.607882,62,76
960-1200,90.645476,13.343538,156,54
1200-1440,93.992598,10.968301,209,120
1440-1680,132.079174,6.942142,285,99
1680-1920,89.654782,7.070477,323,89
SUM,,,,556
0-240,0.323455,50.981982,7,18
240-480,1.80917,49.204008,16,45
480-720,2.429617,48.502114,18,67
720-960,39.371867,26.199889,82,57
960-1200,87.993502,14.334545,115,98
1200-1440,112.160342,9.374915,195,78
1440-1680,140.032878,6.471118,312,83
1680-1920,51.59389,6.906933,319,55
SUM,,,,501
0-240,1.996327,50.097996,7,17
240-480,1.605353,49.638565,14,47
480-720,2.208981,49.123491,20,69
720-960,62.206363,19.010882,101,35
960-1200,126.38935,9.133495,152,73
1200-1440,124.420804,8.334028,211,98
1440-1680,127.96232,7.3303,272,124
1680-1920,89.138127,4.012745,371,7
SUM,,,,470
