our,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-240,0.884253,48.198679,6,20
240-480,0.962042,47.929257,8,38
480-720,1.250017,47.837485,17,49
720-960,25.580829,31.292887,72,64
960-1200,94.446689,12.079351,150,71
1200-1440,104.697754,5.487681,271,64
1440-1680,86.838355,5.573348,353,103
1680-1920,56.069491,4.316019,442,50
SUM,,,,459
0-240,0.839779,48.114721,7,20
240-480,1.975691,47.19418,10,40
480-720,1.445325,47.638032,20,51
720-960,15.644004,37.354891,38,97
960-1200,59.327756,19.554266,103,77
1200-1440,87.455318,9.863445,200,76
1440-1680,99.557248,3.798787,338,38
1680-1920,92.725265,4.034172,485,79
1920-2160,6.37997,3.286345,493,6
SUM,,,,484
0-240,0.681049,47.474025,7,15
240-480,1.109576,47.858087,10,46
480-720,2.069403,46.640626,19,56
720-960,66.69079,17.992399,108,31
960-1200,85.280646,10.961075,154,102
1200-1440,71.216456,8.648162,224,103
1440-1680,86.199867,6.989267,300,99
1680-1920,48.160103,5.065821,338,37
SUM,,,,489
0-240,0.917028,48.286707,8,17
240-480,1.275677,47.431844,14,48
480-720,1.856326,46.876541,20,63
720-960,29.202643,29.276713,77,64
960-1200,99.484007,10.762391,142,66
1200-1440,101.82289,6.674046,234,66
1440-1680,81.926937,6.012544,336,98
1680-1920,42.226032,5.656984,377,41
SUM,,,,463
0-240,1.571006,47.882022,7,17
240-480,1.435248,47.324424,15,46
480-720,4.468277,44.9313,22,68
720-960,9.572656,40.928774,41,97
960-1200,61.603311,19.909797,82,83
1200-1440,108.974503,6.539731,202,37
1440-1680,81.84738,7.310242,285,98
1680-1920,82.421951,5.278849,397,101
SUM,,,,547
