scats,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-240,39.577376,28.540197,13,13
240-480,51.791267,23.285615,21,32
480-720,47.654598,23.144147,34,45
720-960,53.839181,22.415536,78,75
960-1200,61.990214,18.835892,110,117
1200-1440,71.082229,16.982147,139,157
1440-1680,81.374621,15.021861,166,157
1680-1920,94.951547,12.159707,224,162
1920-2160,110.352181,9.23491,299,168
2160-2400,69.482313,8.736924,351,90
SUM,,,,1016
0-240,37.831091,28.709551,13,14
240-480,57.005564,22.375824,22,34
480-720,45.790023,24.181788,31,52
720-960,56.47197,22.304752,66,80
960-1200,53.827013,21.321757,95,113
1200-1440,71.461218,16.484352,135,133
1440-1680,88.899201,13.859044,167,144
1680-1920,97.781642,11.990085,233,160
1920-2160,105.383904,10.207258,297,193
2160-2400,69.816162,8.393228,330,94
SUM,,,,1017
0-240,41.960554,26.335657,14,8
240-480,52.781589,23.365294,25,38
480-720,45.35967,24.01167,38,52
720-960,56.934855,21.598873,74,84
960-1200,56.040417,20.791486,99,123
1200-1440,71.235729,17.080832,122,150
1440-1680,81.448425,14.707533,157,140
1680-1920,95.78016,12.294508,229,149
1920-2160,105.685566,10.215924,289,187
2160-2400,66.545219,9.603442,315,99
SUM,,,,1030
0-240,35.626166,28.997101,16,9
240-480,48.716583,24.025308,27,43
480-720,52.673348,22.301373,42,54
720-960,58.683443,20.571679,82,81
960-1200,64.62903,18.30853,100,113
1200-1440,65.725211,17.91191,113,145
1440-1680,70.01576,17.42342,158,155
1680-1920,83.544259,14.321089,197,174
1920-2160,98.349181,11.054575,272,168
2160-2400,65.986421,10.125641,296,96
SUM,,,,1038
0-240,24.591813,34.747238,13,11
240-480,48.208334,23.684589,30,37
480-720,54.800924,21.970067,49,56
720-960,53.811492,21.917331,69,96
960-1200,58.97119,19.645899,92,101
1200-1440,73.25826,16.365478,119,130
1440-1680,85.140811,14.300329,173,131
1680-1920,98.260901,11.783895,233,157
1920-2160,104.603324,10.092825,288,185
2160-2400,70.413516,8.483527,315,89
SUM,,,,993
