scoot,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-240,39.577376,28.540197,13,13
240-480,48.141903,24.310106,20,33
480-720,45.940438,23.697722,33,45
720-960,55.235133,22.228595,76,76
960-1200,60.269489,19.630319,104,121
1200-1440,67.498096,17.622532,141,149
1440-1680,77.383286,15.435813,159,166
1680-1920,91.120751,12.947425,212,167
1920-2160,108.494323,9.855316,279,176
2160-2400,18.719509,9.660031,290,20
SUM,,,,966
0-240,37.831091,28.709551,13,14
240-480,56.201767,22.556036,22,34
480-720,43.240641,24.827538,31,52
720-960,55.072944,22.933085,58,88
960-1200,54.237154,21.666105,92,108
1200-1440,68.497281,17.15705,136,129
1440-1680,79.517429,14.836141,165,147
1680-1920,88.075963,13.540171,206,185
1920-2160,104.305143,10.737534,279,184
2160-2400,26.992662,9.460501,291,27
SUM,,,,968
0-240,41.960554,26.335657,14,8
240-480,52.226722,23.504588,25,38
480-720,44.060239,24.44286,33,57
720-960,55.35911,22.485218,70,83
960-1200,52.810077,21.980981,96,122
1200-1440,67.127898,17.559785,129,140
1440-1680,79.316227,14.489769,166,138
1680-1920,95.853995,12.14141,228,159
1920-2160,107.253558,10.268987,282,193
2160-2400,26.753133,9.463542,294,28
SUM,,,,966
0-240,35.626166,28.997101,16,9
240-480,47.979505,24.251488,26,44
480-720,51.505721,22.743727,40,55
720-960,57.054796,21.22828,78,83
960-1200,60.881599,19.556185,94,115
1200-1440,59.760008,18.999278,115,137
1440-1680,68.04344,17.405093,159,156
1680-1920,86.859595,13.961224,194,178
1920-2160,97.322501,11.579557,255,182
2160-2400,116.1165,9.270513,322,186
2400-2640,32.594378,7.829517,336,35
SUM,,,,1180
0-240,24.591813,34.747238,13,11
240-480,47.828768,23.686121,31,36
480-720,55.621198,21.598319,47,59
720-960,55.417101,22.044228,62,101
960-1200,58.359757,20.212555,89,97
1200-1440,73.393364,16.157979,129,117
1440-1680,81.234154,14.338204,174,140
1680-1920,93.671168,12.577881,215,176
1920-2160,105.771368,10.40511,278,177
2160-2400,27.956391,8.589601,287,29
SUM,,,,943
