no,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,0.93197,49.98388,21,27
120-240,0.964791,49.565199,32,48
240-360,0.986153,49.986286,30,59
360-480,2.120163,48.898564,27,55
480-600,1.238107,48.786001,27,56
600-720,1.551567,48.999214,30,56
720-840,1.071886,49.38972,26,56
840-960,1.755518,48.871558,35,46
960-1080,2.349681,48.072359,40,70
1080-1200,3.009113,47.008777,28,64
1200-1320,1.829175,48.795157,44,61
1320-1440,1.524729,48.323586,31,66
1440-1560,1.953212,48.257471,38,65
1560-1680,1.488708,48.740864,39,66
1680-1800,3.63875,46.631395,37,66
1800-1920,1.258125,48.96513,40,74
1920-2040,2.367384,48.121452,50,71
2040-2160,3.185098,46.856418,51,86
2160-2280,3.825379,45.889267,54,83
2280-2400,3.93293,46.093343,35,88
2400-2520,2.463578,48.309245,40,72
2520-2640,2.285017,48.256451,32,70
2640-2760,2.306429,48.345015,40,74
2760-2880,2.189939,48.462223,33,71
2880-3000,2.075337,48.435281,36,70
3000-3120,2.494761,47.976669,51,68
3120-3240,3.129958,46.610472,55,85
3240-3360,3.725083,46.348595,37,94
3360-3480,2.80308,47.242575,56,76
3480-3600,4.125179,46.10522,40,93
3600-3720,2.259967,48.157641,57,76
3720-3840,4.589077,45.277254,60,96
3840-3960,5.708371,43.708773,64,98
3960-4080,4.736087,45.116819,43,99
4080-4200,5.398478,44.863372,60,93
4200-4320,3.621029,46.475976,50,103
4320-4440,4.167782,45.628857,51,91
4440-4560,8.343791,41.821775,72,92
4560-4680,27.025304,26.950983,105,68
4680-4800,25.714399,28.029064,85,113
4800-4920,14.298504,35.869396,75,115
4920-5040,10.423641,39.58776,61,112
5040-5160,5.359718,44.541423,59,102
5160-5280,6.69365,43.232885,69,107
5280-5400,5.739859,43.859566,69,109
5400-5520,9.439157,40.742808,79,107
5520-5640,13.181493,36.848352,73,115
5640-5760,25.268648,27.876391,115,78
5760-5880,39.489908,21.428906,138,103
5880-6000,34.001546,20.375221,151,104
SUM,,,,4017
0-120,0.411483,50.213295,18,19
120-240,1.477214,48.612282,21,44
240-360,0.866908,49.987773,28,42
360-480,1.872742,48.389409,37,50
480-600,2.287986,47.751434,27,62
600-720,2.134855,48.425246,24,62
720-840,2.043393,48.506189,45,54
840-960,4.377275,45.767793,32,84
960-1080,1.312627,49.485963,25,59
1080-1200,1.602993,48.94717,26,55
1200-1320,1.608294,48.902603,34,56
1320-1440,1.385227,49.217629,32,54
1440-1560,1.371394,49.679075,36,63
1560-1680,2.406379,47.506405,36,63
1680-1800,2.71517,47.34428,32,64
1800-1920,2.104776,47.966957,46,69
1920-2040,3.216043,46.307447,43,74
2040-2160,3.655862,46.232659,36,82
2160-2280,2.29295,47.716237,36,64
2280-2400,2.368386,48.004387,52,59
2400-2520,3.097089,46.347194,59,87
2520-2640,16.918466,34.282857,62,74
2640-2760,12.409467,37.465139,54,91
2760-2880,3.281879,46.658943,32,90
2880-3000,1.449628,48.860312,32,61
3000-3120,3.107623,47.066832,59,69
3120-3240,4.486342,45.555602,43,107
3240-3360,1.771639,48.656565,40,79
3360-3480,4.284963,46.195327,48,78
3480-3600,4.850406,45.276664,36,91
3600-3720,2.614461,47.715677,53,72
3720-3840,4.233764,45.813351,50,93
3840-3960,7.777237,42.230079,59,87
3960-4080,9.219508,40.589942,83,96
4080-4200,8.873818,40.801286,53,113
4200-4320,3.821391,46.26163,52,95
4320-4440,5.346429,44.335032,69,98
4440-4560,8.202508,40.989415,74,103
4560-4680,7.55049,42.459313,47,109
4680-4800,4.915769,44.983288,52,81
