inc,,,,
TIMEINT,DELAYAVG(ALL),SPEEDAVG(ALL),VEHACT(ALL),VEHARR(ALL)
0-120,0.908215,48.316348,22,26
120-240,0.905171,48.221857,34,47
240-360,0.946879,48.198736,30,61
360-480,1.521309,47.488831,26,56
480-600,1.038302,48.117512,28,54
600-720,1.306619,47.469818,32,55
720-840,1.49437,47.344039,27,57
840-960,1.2031,47.857231,35,47
960-1080,2.086389,46.847822,40,70
1080-1200,1.874727,46.920095,27,65
1200-1320,1.624276,47.345196,47,57
1320-1440,1.437314,47.157923,31,69
1440-1560,1.580558,47.243286,40,63
1560-1680,1.018147,47.810396,40,67
1680-1800,2.935393,45.917507,36,68
1800-1920,1.112836,47.738069,40,73
1920-2040,1.814661,47.026237,52,69
2040-2160,2.817947,45.810437,54,85
2160-2280,3.087388,45.374461,56,84
2280-2400,2.597159,46.032271,36,89
2400-2520,1.906478,47.044805,40,73
2520-2640,2.276653,46.504411,33,69
2640-2760,1.71915,47.259518,40,75
2760-2880,2.142295,46.71387,34,70
2880-3000,1.52045,47.443606,38,69
3000-3120,1.353127,47.615426,51,70
3120-3240,6.058586,42.587945,56,84
3240-3360,4.435137,44.272918,37,95
3360-3480,1.416799,47.668509,56,76
3480-3600,3.337535,45.402526,41,92
3600-3720,1.839752,47.180378,58,76
3720-3840,4.394784,44.224795,59,98
3840-3960,2.477371,46.054405,61,100
3960-4080,3.204324,45.293776,44,95
4080-4200,4.582992,44.342083,59,95
4200-4320,2.94605,45.759377,50,102
4320-4440,4.377667,44.218648,54,88
4440-4560,6.782199,42.070034,72,95
4560-4680,6.48507,41.883393,66,107
4680-4800,4.767073,43.679253,54,105
4800-4920,3.576651,45.151493,63,96
4920-5040,42.99712,16.404793,99,39
5040-5160,44.493468,12.971199,105,55
5160-5280,18.73289,26.746213,112,111
5280-5400,37.398509,15.285815,135,60
5400-5520,45.912855,10.479353,172,56
5520-5640,40.125997,15.273932,152,97
5640-5760,30.488911,19.050265,145,101
5760-5880,33.509095,16.736811,158,96
5880-6000,31.266553,18.618008,129,114
6000-6120,20.922197,23.341184,129,110
6120-6240,21.396107,23.011417,126,110
6240-6360,27.888109,19.241679,122,94
6360-6480,28.05739,21.246565,104,105
6480-6600,18.566842,25.924394,115,104
6600-6720,20.191959,24.948983,114,112
6720-6840,18.023417,25.88298,119,114
6840-6960,32.304161,17.852104,151,81
6960-7080,27.824375,19.468178,141,109
7080-7200,36.378158,13.707849,156,79
7200-7320,39.882475,13.789156,150,79
7320-7440,53.730253,7.759424,175,37
SUM,,,,4955
0-120,0.369295,49.137387,19,18
120-240,0.936333,48.148572,21,45
240-360,0.497045,48.68812,29,41
360-480,0.875317,48.234943,38,50
480-600,1.59532,47.09154,28,62
600-720,1.594893,47.330435,24,63
720-840,2.010034,46.94896,47,52
840-960,2.890571,45.753601,34,84
960-1080,1.531389,47.394734,26,60
1080-1200,1.280666,47.696241,28,54
1200-1320,1.200718,47.758412,34,58
1320-1440,1.009757,48.053164,33,53
1440-1560,0.876791,48.24008,36,64
1560-1680,1.610356,47.225369,36,63
1680-1800,2.542449,46.366579,32,64
1800-1920,1.759195,47.178656,47,68
1920-2040,3.60839,44.90267,42,76
2040-2160,1.859371,46.929353,38,79
2160-2280,1.46989,47.436987,35,67
2280-2400,1.528363,47.191229,53,57
2400-2520,2.235901,46.361884,60,87
2520-2640,2.930002,45.662692,38,99
2640-2760,1.555792,47.344145,53,68
2760-2880,6.88224,41.785345,43,78
2880-3000,66.508424,7.16667,92,3
3000-3120,43.754706,15.588103,109,52
3120-3240,24.258148,23.325649,103,102
3240-3360,30.568348,17.906223,123,65
3360-3480,24.727783,20.938254,119,99
3480-3600,26.644452,22.272552,106,104
3600-3720,20.08587,27.648791,90,106
3720-3840,21.625304,27.69939,84,96
3840-3960,14.276302,34.182831,66,114
3960-4080,7.235734,40.984876,80,106
4080-4200,10.687093,37.823479,64,99
4200-4320,30.448993,24.982991,98,60
4320-4440,23.226853,27.841599,99,113
4440-4560,15.529528,32.116916,91,117
4560-4680,30.183171,21.586454,104,69
4680-4800,36.876504,18.163745,108,82
4800-4920,31.106817,19.947054,104,86
4920-5040,16.153846,29.908722,116,117
5040-5160,23.621116,23.780438,104,110
5160-5280,19.054866,27.629301,100,115
5280-5400,32.672889,17.966243,128,65
5400-5520,32.704786,18.347635,116,92
5520-5640,20.873252,23.855351,131,109
5640-5760,25.406765,22.059162,122,110
5760-5880,23.3795,23.204776,123,105
5880-6000,23.825957,22.204823,106,110
6000-6120,17.469105,28.767109,121,112
6120-6240,22.644239,22.196478,113,105
6240-6360,21.86017,24.520923,111,112
6360-6480,26.106772,20.732795,123,86
6480-6600,28.662254,20.40387,125,90
6600-6720,50.839891,9.13902,182,41
6720-6840,48.406064,10.275711,188,69
6840-6960,35.589017,15.351156,161,107
6960-7080,28.987472,19.728141,146,116
7080-7200,28.412439,20.539296,139,111
7200-7320,30.823254,18.719594,118,107
7320-7440,31.106601,19.212172,125,88
7440-7560,27.061197,21.735178,126,99
7560-7680,26.152028,21.54574,108,109
7680-7800,27.057382,21.369543,118,93
7800-7920,24.630207,23.658675,110,110
7920-8040,16.82331,27.513733,123,118
8040-8160,25.416865,22.341116,104,109
8160-8280,16.520998,26.975675,123,107
8280-8400,21.523896,23.305137,118,113
8400-8520,28.988107,19.813335,133,87
8520-8640,39.018899,15.090535,145,79
8640-8760,29.726465,19.921559,142,108
8760-8880,30.921068,19.315144,122,108
8880-9000,27.620619,20.636307,114,96
9000-9120,24.456865,24.95766,143,107
9120-9240,32.4494,18.376904,109,107
9240-9360,19.030927,26.230732,120,108
9360-9480,21.247546,23.843716,124,113
9480-9600,26.797181,19.006422,140,92
9600-9720,30.215791,19.605354,135,106
9720-9840,35.277559,17.704748,146,91
9840-9960,29.704769,20.173137,124,112
9960-10080,22.3269,22.414327,118,107
10080-10200,18.646205,24.057472,126,110
10200-10320,23.378515,22.003268,130,109
10320-10440,26.820632,19.833333,129,99
10440-10560,25.269695,21.733946,121,111
10560-10680,23.252262,22.672548,125,109
10680-10800,26.249072,22.874625,118,110
10800-10920,23.498981,23.883645,128,114
10920-11040,25.199934,21.276083,131,108
11040-11160,30.38332,19.983243,128,98
11160-11280,28.031844,21.065114,154,109
11280-11400,30.690393,17.884252,160,114
11400-11520,39.064528,13.463646,170,82
11520-11640,36.491623,15.742518,173,100
11640-11760,44.708468,12.304839,177,85
11760-11880,32.757993,17.097427,179,115
11880-12000,33.395417,15.292033,167,101
12000-12120,39.874957,12.99869,177,85
12120-12240,41.901654,12.299944,189,90
12240-12360,31.388393,16.229538,198,114
12360-12480,29.231931,16.106102,184,117
12480-12600,33.784445,14.881304,186,107
12600-12720,38.041192,13.332006,190,97
12720-12840,34.0776,15.113133,195,113
12840-12960,47.241296,9.827951,207,74
12960-13080,34.283932,13.962233,204,114
13080-13200,46.398287,9.933701,227,76
13200-13320,36.210574,12.453149,216,108
13320-13440,51.229109,8.061881,244,60
13440-13560,14.237901,7.367423,247,14
SUM,,,,10182
0-120,1.033178,48.202816,17,20
120-240,0.494298,48.761003,22,42
240-360,0.980427,48.040314,32,49
360-480,1.365144,47.675802,23,62
480-600,0.686539,48.369646,26,47
600-720,1.114283,47.971301,34,56
720-840,1.04868,47.965321,37,65
840-960,1.621508,47.372309,41,63
960-1080,1.587092,47.27217,25,71
1080-1200,0.430601,48.64291,25,44
1200-1320,1.904123,47.339497,25,58
1320-1440,2.375843,46.823767,43,56
1440-1560,1.001896,47.883712,44,74
1560-1680,2.597594,46.156203,35,73
1680-1800,0.685199,48.311092,42,58
1800-1920,3.797543,45.207487,37,89
1920-2040,1.984682,46.673175,37,69
2040-2160,1.569278,47.435964,42,64
2160-2280,2.99607,45.782903,28,82
2280-2400,2.078104,46.63082,37,53
2400-2520,3.185985,45.720064,42,78
2520-2640,1.979736,46.760419,44,79
2640-2760,2.343429,46.562273,39,78
2760-2880,1.321439,47.57131,39,74
2880-3000,4.24394,44.828954,51,81
3000-3120,3.747532,44.691622,50,87
3120-3240,3.236904,45.555659,44,84
3240-3360,1.44643,47.49601,38,80
3360-3480,2.395567,46.60986,38,79
3480-3600,2.26931,46.737723,41,78
3600-3720,2.027991,46.891739,40,83
3720-3840,3.292921,45.599133,52,89
3840-3960,3.324865,45.161008,62,89
3960-4080,5.222912,43.502772,54,101
4080-4200,40.073073,13.978549,117,25
4200-4320,68.913093,4.604104,172,4
4320-4440,35.04481,17.65542,140,113
4440-4560,24.969329,20.39454,123,110
4560-4680,25.677596,21.799715,106,107
4680-4800,16.969824,28.036242,108,114
4800-4920,24.294876,21.029432,109,88
4920-5040,25.834258,21.906943,111,95
5040-5160,24.883103,21.960296,110,100
5160-5280,16.557992,26.963227,120,112
5280-5400,23.551274,22.038962,116,107
5400-5520,31.461805,19.599451,134,82
5520-5640,30.213477,18.943169,116,100
5640-5760,24.907963,21.078519,127,93
5760-5880,38.912127,16.072017,141,85
5880-6000,30.72569,19.772008,129,106
6000-6120,25.7275,22.783847,124,111
6120-6240,24.784687,22.60258,123,108
6240-6360,26.346158,19.935332,134,95
6360-6480,43.953647,11.400736,180,61
6480-6600,45.454921,11.191492,184,75
6600-6720,33.30334,16.321613,156,115
6720-6840,29.293537,17.389898,138,107
6840-6960,42.205319,13.462232,156,73
6960-7080,37.108706,16.313181,135,95
7080-7200,31.680385,17.128876,149,88
7200-7320,32.508255,18.624812,139,101
7320-7440,30.113473,18.049765,122,105
7440-7560,22.383616,22.765499,119,107
7560-7680,18.441723,24.479108,125,111
7680-7800,27.978794,20.198459,144,94
7800-7920,31.799268,19.09675,120,112
7920-8040,22.133793,22.910571,124,109
8040-8160,31.035014,20.687926,126,100
8160-8280,42.134244,13.837929,129,65
8280-8400,32.725354,19.20023,143,96
8400-8520,41.174386,13.6673,130,80
8520-8640,40.042024,15.022712,136,74
8640-8760,29.603821,17.678129,122,97
8760-8880,32.030363,18.319483,125,85
8880-9000,28.763591,19.619589,125,98
9000-9120,19.304975,26.083042,128,114
9120-9240,24.448085,22.251375,128,109
9240-9360,21.363238,23.277693,136,110
9360-9480,28.494633,20.827934,131,104
9480-9600,25.852982,20.422101,129,108
9600-9720,32.179011,18.243298,141,83
9720-9840,28.677998,19.73756,134,106
9840-9960,35.077412,16.700475,135,86
9960-10080,25.6603,20.704754,133,98
10080-10200,24.929725,22.191375,126,111
10200-10320,24.585532,22.600884,138,110
10320-10440,24.963183,20.626326,132,112
10440-10560,23.357033,20.988257,130,109
10560-10680,24.605857,20.963864,130,108
10680-10800,24.639105,22.793827,130,113
10800-10920,25.504424,20.777976,131,109
10920-11040,37.347228,14.558102,166,72
11040-11160,47.684778,9.87808,208,61
11160-11280,41.066739,13.162082,199,103
11280-11400,35.098332,15.286755,190,116
11400-11520,32.304236,16.334757,194,118
11520-11640,33.348827,14.430955,191,112
11640-11760,32.349199,16.112189,177,114
11760-11880,31.370717,16.492792,185,111
11880-12000,33.464571,16.451608,171,114
12000-12120,32.200823,16.885004,164,113
12120-12240,35.429948,15.806036,155,101
12240-12360,36.336916,16.452304,168,102
12360-12480,31.043487,17.74473,185,114
12480-12600,35.028656,16.016074,179,112
12600-12720,34.704984,16.520935,167,114
12720-12840,33.598861,16.672653,171,110
12840-12960,35.612329,15.144524,165,100
12960-13080,33.144637,16.905705,172,107
13080-13200,32.272125,16.975324,167,109
13200-13320,35.090811,15.802853,146,108
13320-13440,35.765742,15.279072,150,82
13440-13560,30.868685,16.511182,164,98
13560-13680,42.438061,10.83969,191,73
13680-13800,32.201152,16.878594,185,115
13800-13920,39.409091,12.313985,183,90
13920-14040,44.215463,10.087886,180,80
14040-14160,32.450978,16.729799,193,110
14160-14280,34.254296,15.434051,190,112
14280-14400,37.580423,14.356701,193,111
14400-14520,35.902719,15.437136,195,112
14520-14640,36.69941,14.977767,201,116
14640-14760,31.857753,14.928881,191,113
14760-14880,32.343517,15.489908,184,115
14880-15000,33.744772,15.303624,182,107
SUM,,,,11393
0-120,0.751092,48.50262,21,25
120-240,0.842879,48.410609,32,48
240-360,1.262081,47.777484,34,54
360-480,2.7149,45.894976,40,52
480-600,0.792313,48.341665,23,74
600-720,0.929328,48.218805,40,47
720-840,1.665807,47.069611,38,64
840-960,1.701064,47.169649,31,59
960-1080,0.842638,48.341453,34,62
1080-1200,1.234981,47.704218,31,56
1200-1320,0.765571,48.389545,29,55
1320-1440,1.411971,47.65859,37,56
1440-1560,1.24701,47.836482,36,67
1560-1680,2.75027,46.024742,41,61
